L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐌳𐍂𐌹𐌿𐍃𐍉,https://en.wiktionary.org/wiki/𐌳𐍂𐌹𐌿𐍃𐍉#Gothic,driusō,drɪuso,"cliff, drop, steep_slope",n,drɪuso,ͽðrͽwͽsͽ,"ͽðrͽwͽsͽ, ͽðrͽwȣsͽ, ͽðrͽjͽsͽ, ͽðrͽjȣsͽ, ͽðrɑwͽsͽ, ͽðrɑwȣsͽ, ͽðrɑjͽsͽ, ͽðrɑjȣsͽ, ͽtrͽwͽsͽ, ͽtrͽwȣsͽ, ͽtrͽjͽsͽ, ͽtrͽjȣsͽ, ͽtrɑwͽsͽ, ͽtrɑwȣsͽ, ͽtrɑjͽsͽ, ͽtrɑjȣsͽ, eðrͽwͽsͽ, eðrͽwȣsͽ, eðrͽjͽsͽ, eðrͽjȣsͽ, eðrɑwͽsͽ, eðrɑwȣsͽ, eðrɑjͽsͽ, eðrɑjȣsͽ, etrͽwͽsͽ, etrͽwȣsͽ, etrͽjͽsͽ, etrͽjȣsͽ, etrɑwͽsͽ, etrɑwȣsͽ, etrɑjͽsͽ, etrɑjȣsͽ"
𐌳𐍂𐌿𐌲𐌺𐌰𐌽𐌴𐌹,https://en.wiktionary.org/wiki/𐌳𐍂𐌿𐌲𐌺𐌰𐌽𐌴𐌹#Gothic,drugkanēi,druŋkaneɪ,"inebriation, drunkenness",n,druŋkaneɪ,ðͽŋkͽnͽ,"ðͽŋkͽnͽ, ðͽŋkͽnȣ̈, ðͽŋkȣ̈nͽ, ðͽŋkȣ̈nȣ̈, ðeŋkͽnͽ, ðeŋkͽnȣ̈, ðeŋkȣ̈nͽ, ðeŋkȣ̈nȣ̈, ðæŋkͽnͽ, ðæŋkͽnȣ̈, ðæŋkȣ̈nͽ, ðæŋkȣ̈nȣ̈, tͽŋkͽnͽ, tͽŋkͽnȣ̈, tͽŋkȣ̈nͽ, tͽŋkȣ̈nȣ̈, teŋkͽnͽ, teŋkͽnȣ̈, teŋkȣ̈nͽ, teŋkȣ̈nȣ̈, tæŋkͽnͽ, tæŋkͽnȣ̈, tæŋkȣ̈nͽ, tæŋkȣ̈nȣ̈"
𐌳𐍂𐌿𐌲𐌺𐌰𐌽𐍃,https://en.wiktionary.org/wiki/𐌳𐍂𐌿𐌲𐌺𐌰𐌽𐍃#Gothic,drugkans,druŋkans,"intoxicated, drunk, drunken",a,druŋkans,ðͽŋkͽnsͽ,"ðͽŋkͽnsͽ, ðͽŋkͽnse, ðͽŋkɑnsͽ, ðͽŋkɑnse, ðȣŋkͽnsͽ, ðȣŋkͽnse, ðȣŋkɑnsͽ, ðȣŋkɑnse, ðuŋkͽnsͽ, ðuŋkͽnse, ðuŋkɑnsͽ, ðuŋkɑnse, tͽŋkͽnsͽ, tͽŋkͽnse, tͽŋkɑnsͽ, tͽŋkɑnse, tȣŋkͽnsͽ, tȣŋkͽnse, tȣŋkɑnsͽ, tȣŋkɑnse, tuŋkͽnsͽ, tuŋkͽnse, tuŋkɑnsͽ, tuŋkɑnse"
𐌳𐍂𐌿𐌽𐌾𐌿𐍃,https://en.wiktionary.org/wiki/𐌳𐍂𐌿𐌽𐌾𐌿𐍃#Gothic,drunjus,drunjus,sound,n,drunjus,ðͽnjͽsͽ,"ðͽnjͽsͽ, ðͽnjͽse, ðͽnjͽsɑ, ðͽnjͽsæ, ðȣnjȣsͽ, ðȣnjȣse, ðȣnjȣsɑ, ðȣnjȣsæ, ðunjusͽ, ðunjuse, ðunjusɑ, ðunjusæ, tͽnjͽsͽ, tͽnjͽse, tͽnjͽsɑ, tͽnjͽsæ, tȣnjȣsͽ, tȣnjȣse, tȣnjȣsɑ, tȣnjȣsæ, tunjusͽ, tunjuse, tunjusɑ, tunjusæ"
𐌳𐍂𐌿𐍃,https://en.wiktionary.org/wiki/𐌳𐍂𐌿𐍃#Gothic,drus,drus,", fall",n,drus,ðͽrͽws,"ðͽrͽws, ðͽrͽjs, ðͽrȣws, ðͽrȣjs, ðerͽws, ðerͽjs, ðerȣws, ðerȣjs, ðɑrͽws, ðɑrͽjs, ðɑrȣws, ðɑrȣjs, tͽrͽws, tͽrͽjs, tͽrȣws, tͽrȣjs, terͽws, terͽjs, terȣws, terȣjs, tɑrͽws, tɑrͽjs, tɑrȣws, tɑrȣjs"
𐌳𐍂𐍉𐌱𐌽𐌰,https://en.wiktionary.org/wiki/𐌳𐍂𐍉𐌱𐌽𐌰#Gothic,drōbna,droβna,"disturbance, trouble, tumult",n,droβna,ðͽrͽwnͽ,"ðͽrͽwnͽ, ðͽrͽwnɑ, ðͽrȣwnͽ, ðͽrȣwnɑ, ðerͽwnͽ, ðerͽwnɑ, ðerȣwnͽ, ðerȣwnɑ, ðɑrͽwnͽ, ðɑrͽwnɑ, ðɑrȣwnͽ, ðɑrȣwnɑ, tͽrͽwnͽ, tͽrͽwnɑ, tͽrȣwnͽ, tͽrȣwnɑ, terͽwnͽ, terͽwnɑ, terȣwnͽ, terȣwnɑ, tɑrͽwnͽ, tɑrͽwnɑ, tɑrȣwnͽ, tɑrȣwnɑ"
𐌳𐍂𐍉𐌱𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌳𐍂𐍉𐌱𐌽𐌰𐌽#Gothic,drōbnan,droβnan,"be/become_restless, be/become_agitated",v,droβn,ðͽwnͽnͽ,"ðͽwnͽnͽ, ðͽwnͽne, ðͽwnɑnͽ, ðͽwnɑne, ðȣwnͽnͽ, ðȣwnͽne, ðȣwnɑnͽ, ðȣwnɑne, ðownͽnͽ, ðownͽne, ðownɑnͽ, ðownɑne, tͽwnͽnͽ, tͽwnͽne, tͽwnɑnͽ, tͽwnɑne, tȣwnͽnͽ, tȣwnͽne, tȣwnɑnͽ, tȣwnɑne, townͽnͽ, townͽne, townɑnͽ, townɑne"
𐌳𐍂𐍉𐌱𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌳𐍂𐍉𐌱𐌾𐌰𐌽#Gothic,drōbjan,droβjan,"trouble, worry, upset",v,droβj,ðͽwjͽnͽ,"ðͽwjͽnͽ, ðͽwjͽne, ðͽwjɑnͽ, ðͽwjɑne, ðȣwjͽnͽ, ðȣwjͽne, ðȣwjɑnͽ, ðȣwjɑne, ðowjͽnͽ, ðowjͽne, ðowjɑnͽ, ðowjɑne, tͽwjͽnͽ, tͽwjͽne, tͽwjɑnͽ, tͽwjɑne, tȣwjͽnͽ, tȣwjͽne, tȣwjɑnͽ, tȣwjɑne, towjͽnͽ, towjͽne, towjɑnͽ, towjɑne"
-𐌳𐍃,https://en.wiktionary.org/wiki/-𐌳𐍃#Gothic,-ds,ðs,,r,ðs,ðͽsͽ,"ðͽsͽ, ðese, ðɑsɑ, ðæsæ, ðusu, ðoso, ðisi, ðȣsȣ, ðȣ̈sȣ̈, ðɤsɤ, ðysy"
𐌳𐍅𐌰𐌻𐌰𐍅𐌰𐌿𐍂𐌳𐌴𐌹,https://en.wiktionary.org/wiki/𐌳𐍅𐌰𐌻𐌰𐍅𐌰𐌿𐍂𐌳𐌴𐌹#Gothic,dwalawaurdēi,dwalawɔrdeɪ,foolish_talk,n,dwalawɔrdeɪ,ðͽlwͽrðͽ,"ðͽlwͽrðͽ, ðͽlwͽrðȣ̈, ðͽlwerðͽ, ðͽlwerðȣ̈, ðȣ̈lwͽrðͽ, ðȣ̈lwͽrðȣ̈, ðȣ̈lwerðͽ, ðȣ̈lwerðȣ̈, ðɑlwͽrðͽ, ðɑlwͽrðȣ̈, ðɑlwerðͽ, ðɑlwerðȣ̈, tͽlwͽrtͽ, tͽlwͽrtȣ̈, tͽlwertͽ, tͽlwertȣ̈, tȣ̈lwͽrtͽ, tȣ̈lwͽrtȣ̈, tȣ̈lwertͽ, tȣ̈lwertȣ̈, tɑlwͽrtͽ, tɑlwͽrtȣ̈, tɑlwertͽ, tɑlwertȣ̈"
𐌳𐍅𐌰𐌻𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌳𐍅𐌰𐌻𐌹𐌸𐌰#Gothic,dwaliþa,dwalɪθa,folly,n,dwalɪθa,ͽðwͽlͽt͡ʃͽ,"ͽðwͽlͽt͡ʃͽ, ͽðwͽlͽsͽ, ͽðwͽlȣ̈t͡ʃͽ, ͽðwͽlȣ̈sͽ, ͽðwȣ̈lͽt͡ʃȣ̈, ͽðwȣ̈lͽsȣ̈, ͽðwȣ̈lȣ̈t͡ʃȣ̈, ͽðwȣ̈lȣ̈sȣ̈, ͽtwͽlͽt͡ʃͽ, ͽtwͽlͽsͽ, ͽtwͽlȣ̈t͡ʃͽ, ͽtwͽlȣ̈sͽ, ͽtwȣ̈lͽt͡ʃȣ̈, ͽtwȣ̈lͽsȣ̈, ͽtwȣ̈lȣ̈t͡ʃȣ̈, ͽtwȣ̈lȣ̈sȣ̈, eðwͽlͽt͡ʃͽ, eðwͽlͽsͽ, eðwͽlȣ̈t͡ʃͽ, eðwͽlȣ̈sͽ, eðwȣ̈lͽt͡ʃȣ̈, eðwȣ̈lͽsȣ̈, eðwȣ̈lȣ̈t͡ʃȣ̈, eðwȣ̈lȣ̈sȣ̈, etwͽlͽt͡ʃͽ, etwͽlͽsͽ, etwͽlȣ̈t͡ʃͽ, etwͽlȣ̈sͽ, etwȣ̈lͽt͡ʃȣ̈, etwȣ̈lͽsȣ̈, etwȣ̈lȣ̈t͡ʃȣ̈, etwȣ̈lȣ̈sȣ̈"
𐌳𐍅𐌰𐌻𐌼𐍉𐌽,https://en.wiktionary.org/wiki/𐌳𐍅𐌰𐌻𐌼𐍉𐌽#Gothic,dwalmōn,dwalmon,be_mad,v,dwalmon,ðͽlmͽnͽ,"ðͽlmͽnͽ, ðͽlmͽne, ðͽlmȣnͽ, ðͽlmȣne, ðɑlmͽnͽ, ðɑlmͽne, ðɑlmȣnͽ, ðɑlmȣne, ðulmͽnͽ, ðulmͽne, ðulmȣnͽ, ðulmȣne, tͽlmͽnͽ, tͽlmͽne, tͽlmȣnͽ, tͽlmȣne, tɑlmͽnͽ, tɑlmͽne, tɑlmȣnͽ, tɑlmȣne, tulmͽnͽ, tulmͽne, tulmȣnͽ, tulmȣne"
𐌳𐍅𐌰𐌻𐍃,https://en.wiktionary.org/wiki/𐌳𐍅𐌰𐌻𐍃#Gothic,dwals,dwals,foolish,a,dwals,ðͽwͽls,"ðͽwͽls, ðͽwȣ̈ls, ðͽwɑls, ðewͽls, ðewȣ̈ls, ðewɑls, ðɑwͽls, ðɑwȣ̈ls, ðɑwɑls, ðæwͽls, ðæwȣ̈ls, ðæwɑls, tͽwͽls, tͽwȣ̈ls, tͽwɑls, tewͽls, tewȣ̈ls, tewɑls, tɑwͽls, tɑwȣ̈ls, tɑwɑls, tæwͽls, tæwȣ̈ls, tæwɑls"
-𐌳𐍉𐌲𐍃,https://en.wiktionary.org/wiki/-𐌳𐍉𐌲𐍃#Gothic,-dōgs,ðoɣs,,r,ðoɣs,ðͽɣsͽ,"ðͽɣsͽ, ðͽɣse, ðͽɣsɑ, ðͽɣsæ, ðͽɣsu, ðͽɣso, ðͽɣsi, ðȣɣsͽ, ðȣɣse, ðȣɣsɑ, ðȣɣsæ, ðȣɣsu, ðȣɣso, ðȣɣsi, ðoɣsͽ, ðoɣse, ðoɣsɑ, ðoɣsæ, ðoɣsu, ðoɣso, ðoɣsi"
𐌳𐍉𐌼𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌳𐍉𐌼𐌾𐌰𐌽#Gothic,dōmjan,domjan,"judge, evaluate",v,domj,ðͽmjͽnͽ,"ðͽmjͽnͽ, ðͽmjͽne, ðͽmjɑnͽ, ðͽmjɑne, ðȣmjͽnͽ, ðȣmjͽne, ðȣmjɑnͽ, ðȣmjɑne, ðomjͽnͽ, ðomjͽne, ðomjɑnͽ, ðomjɑne, tͽmjͽnͽ, tͽmjͽne, tͽmjɑnͽ, tͽmjɑne, tȣmjͽnͽ, tȣmjͽne, tȣmjɑnͽ, tȣmjɑne, tomjͽnͽ, tomjͽne, tomjɑnͽ, tomjɑne"
𐌳𐍉𐌼𐍃,https://en.wiktionary.org/wiki/𐌳𐍉𐌼𐍃#Gothic,dōms,doms,"judgement, insight",n,doms,ðͽmsͽ,"ðͽmsͽ, ðͽmse, ðͽmsɑ, ðͽmsæ, ðȣmsͽ, ðȣmse, ðȣmsɑ, ðȣmsæ, ðomsͽ, ðomse, ðomsɑ, ðomsæ, tͽmsͽ, tͽmse, tͽmsɑ, tͽmsæ, tȣmsͽ, tȣmse, tȣmsɑ, tȣmsæ, tomsͽ, tomse, tomsɑ, tomsæ"
𐌴,https://en.wiktionary.org/wiki/𐌴#Gothic,ē,e,"The_fifth_letter_of_, Gothic_alphabet, representing_/e/, with_, numerical_value_of_5.",r,e,ͽ,"ͽ, ȣ̈, e"
-𐌴𐌹,https://en.wiktionary.org/wiki/-𐌴𐌹#Gothic,-ēi,eɪ,,r,eɪ,ͽwͽ,"ͽwͽ, ͽwȣ̈, ͽwi, ͽjͽ, ͽjȣ̈, ͽji, ͽkͽ, ͽkȣ̈, ͽki, ȣ̈wͽ, ȣ̈wȣ̈, ȣ̈wi, ȣ̈jͽ, ȣ̈jȣ̈, ȣ̈ji, ȣ̈kͽ, ȣ̈kȣ̈, ȣ̈ki, ewͽ, ewȣ̈, ewi, ejͽ, ejȣ̈, eji, ekͽ, ekȣ̈, eki"
𐌴𐌹,https://en.wiktionary.org/wiki/𐌴𐌹#Gothic,ēi,eɪ,,r,eɪ,ͽwͽ,"ͽwͽ, ͽwȣ̈, ͽwi, ͽjͽ, ͽjȣ̈, ͽji, ͽkͽ, ͽkȣ̈, ͽki, ȣ̈wͽ, ȣ̈wȣ̈, ȣ̈wi, ȣ̈jͽ, ȣ̈jȣ̈, ȣ̈ji, ȣ̈kͽ, ȣ̈kȣ̈, ȣ̈ki, ewͽ, ewȣ̈, ewi, ejͽ, ejȣ̈, eji, ekͽ, ekȣ̈, eki"
-𐌴𐌹𐌲𐍃,https://en.wiktionary.org/wiki/-𐌴𐌹𐌲𐍃#Gothic,-ēigs,eɪɣs,,r,eɪɣs,wͽwͽɣs,"wͽwͽɣs, wͽwȣ̈ɣs, wͽwiɣs, wȣ̈wͽɣs, wȣ̈wȣ̈ɣs, wȣ̈wiɣs, wewͽɣs, wewȣ̈ɣs, wewiɣs, jͽjͽɣs, jͽjȣ̈ɣs, jͽjiɣs, jȣ̈jͽɣs, jȣ̈jȣ̈ɣs, jȣ̈jiɣs, jejͽɣs, jejȣ̈ɣs, jejiɣs, kͽkͽɣs, kͽkȣ̈ɣs, kͽkiɣs, kȣ̈kͽɣs, kȣ̈kȣ̈ɣs, kȣ̈kiɣs, kekͽɣs, kekȣ̈ɣs, kekiɣs"
𐌴𐌹𐌸𐌰𐌽,https://en.wiktionary.org/wiki/𐌴𐌹𐌸𐌰𐌽#Gothic,ēiþan,eɪθan,"for_which_reason, wherefore",r,eɪθan,ͽwwͽt͡ʃͽnͽ,"ͽwwͽt͡ʃͽnͽ, ͽwwͽt͡ʃȣ̈nͽ, ͽwwͽsͽnͽ, ͽwwͽsȣ̈nͽ, ͽwwȣ̈t͡ʃͽnͽ, ͽwwȣ̈t͡ʃȣ̈nͽ, ͽwwȣ̈sͽnͽ, ͽwwȣ̈sȣ̈nͽ, ͽjjͽt͡ʃͽnͽ, ͽjjͽt͡ʃȣ̈nͽ, ͽjjͽsͽnͽ, ͽjjͽsȣ̈nͽ, ͽjjȣ̈t͡ʃͽnͽ, ͽjjȣ̈t͡ʃȣ̈nͽ, ͽjjȣ̈sͽnͽ, ͽjjȣ̈sȣ̈nͽ, ȣ̈wwͽt͡ʃͽnͽ, ȣ̈wwͽt͡ʃȣ̈nͽ, ȣ̈wwͽsͽnͽ, ȣ̈wwͽsȣ̈nͽ, ȣ̈wwȣ̈t͡ʃͽnͽ, ȣ̈wwȣ̈t͡ʃȣ̈nͽ, ȣ̈wwȣ̈sͽnͽ, ȣ̈wwȣ̈sȣ̈nͽ, ȣ̈jjͽt͡ʃͽnͽ, ȣ̈jjͽt͡ʃȣ̈nͽ, ȣ̈jjͽsͽnͽ, ȣ̈jjͽsȣ̈nͽ, ȣ̈jjȣ̈t͡ʃͽnͽ, ȣ̈jjȣ̈t͡ʃȣ̈nͽ, ȣ̈jjȣ̈sͽnͽ, ȣ̈jjȣ̈sȣ̈nͽ"
-𐌴𐌹𐌽,https://en.wiktionary.org/wiki/-𐌴𐌹𐌽#Gothic,-ēin,eɪn,,r,eɪn,ͽwͽnͽ,"ͽwͽnͽ, ͽwͽne, ͽwȣ̈nͽ, ͽwȣ̈ne, ͽjͽnͽ, ͽjͽne, ͽjȣ̈nͽ, ͽjȣ̈ne, ȣ̈wͽnͽ, ȣ̈wͽne, ȣ̈wȣ̈nͽ, ȣ̈wȣ̈ne, ȣ̈jͽnͽ, ȣ̈jͽne, ȣ̈jȣ̈nͽ, ȣ̈jȣ̈ne, ewͽnͽ, ewͽne, ewȣ̈nͽ, ewȣ̈ne, ejͽnͽ, ejͽne, ejȣ̈nͽ, ejȣ̈ne"
-𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/-𐌴𐌹𐌽𐍃#Gothic,-ēins,eɪns,,r,eɪns,wͽwͽns,"wͽwͽns, wͽwȣ̈ns, wͽwins, wȣ̈wͽns, wȣ̈wȣ̈ns, wȣ̈wins, wewͽns, wewȣ̈ns, wewins, jͽjͽns, jͽjȣ̈ns, jͽjins, jȣ̈jͽns, jȣ̈jȣ̈ns, jȣ̈jins, jejͽns, jejȣ̈ns, jejins, kͽkͽns, kͽkȣ̈ns, kͽkins, kȣ̈kͽns, kȣ̈kȣ̈ns, kȣ̈kins, kekͽns, kekȣ̈ns, kekins"
𐌴𐌹𐍃𐌰𐍂𐌽,https://en.wiktionary.org/wiki/𐌴𐌹𐍃𐌰𐍂𐌽#Gothic,ēisarn,eɪsarn,iron,n,eɪsarn,wͽsͽrn,"wͽsͽrn, wͽsȣ̈rn, wͽsɑrn, wȣ̈sͽrn, wȣ̈sȣ̈rn, wȣ̈sɑrn, wisͽrn, wisȣ̈rn, wisɑrn, jͽsͽrn, jͽsȣ̈rn, jͽsɑrn, jȣ̈sͽrn, jȣ̈sȣ̈rn, jȣ̈sɑrn, jisͽrn, jisȣ̈rn, jisɑrn, kͽsͽrn, kͽsȣ̈rn, kͽsɑrn, kȣ̈sͽrn, kȣ̈sȣ̈rn, kȣ̈sɑrn, kisͽrn, kisȣ̈rn, kisɑrn"
𐌴𐌹𐍃𐌰𐍂𐌽𐌰𐌱𐌰𐌽𐌳𐌹,https://en.wiktionary.org/wiki/𐌴𐌹𐍃𐌰𐍂𐌽𐌰𐌱𐌰𐌽𐌳𐌹#Gothic,ēisarnabandi,eɪsarnaβandɪ,iron_shackle_or_chain,n,eɪsarnaβandɪ,sͽrwͽnðͽ,"sͽrwͽnðͽ, sͽrwͽnðȣ̈, sͽrwͽnði, sͽrwͽntͽ, sͽrwͽntȣ̈, sͽrwͽnti, sȣ̈rwȣ̈nðͽ, sȣ̈rwȣ̈nðȣ̈, sȣ̈rwȣ̈nði, sȣ̈rwȣ̈ntͽ, sȣ̈rwȣ̈ntȣ̈, sȣ̈rwȣ̈nti, sɑrwɑnðͽ, sɑrwɑnðȣ̈, sɑrwɑnði, sɑrwɑntͽ, sɑrwɑntȣ̈, sɑrwɑnti, særwænðͽ, særwænðȣ̈, særwænði, særwæntͽ, særwæntȣ̈, særwænti"
𐌴𐌹𐍃𐌰𐍂𐌽𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌴𐌹𐍃𐌰𐍂𐌽𐌴𐌹𐌽𐍃#Gothic,ēisarnēins,eɪsarneɪns,made_of_iron,a,eɪsarneɪns,sͽrnͽwnͽ,"sͽrnͽwnͽ, sͽrnͽwne, sͽrnͽjnͽ, sͽrnͽjne, sͽrnȣ̈wnͽ, sͽrnȣ̈wne, sͽrnȣ̈jnͽ, sͽrnȣ̈jne, sȣ̈rnͽwnͽ, sȣ̈rnͽwne, sȣ̈rnͽjnͽ, sȣ̈rnͽjne, sȣ̈rnȣ̈wnͽ, sȣ̈rnȣ̈wne, sȣ̈rnȣ̈jnͽ, sȣ̈rnȣ̈jne, sɑrnͽwnͽ, sɑrnͽwne, sɑrnͽjnͽ, sɑrnͽjne, sɑrnȣ̈wnͽ, sɑrnȣ̈wne, sɑrnȣ̈jnͽ, sɑrnȣ̈jne"
𐌵,https://en.wiktionary.org/wiki/𐌵#Gothic,q,kʷ,"The_sixth_letter_of_, Gothic_alphabet, representing_/kʷ/, with_, numerical_value_of_6.",r,kʷ,kͽ,"kͽ, ke, kɑ, kæ, ku, ko, ki, kȣ, kȣ̈, kɤ, wͽ, we, wɑ, wæ, wu, wo, wi, wȣ, wȣ̈, wɤ"
𐌵𐌰𐌹𐌽𐍉𐌽,https://en.wiktionary.org/wiki/𐌵𐌰𐌹𐌽𐍉𐌽#Gothic,qainōn,kʷɛnon,"cry, wail, lament",v,kʷɛnon,kͽnͽnw,"kͽnͽnw, kͽnͽnj, kͽnȣnw, kͽnȣnj, kɑnͽnw, kɑnͽnj, kɑnȣnw, kɑnȣnj, kunͽnw, kunͽnj, kunȣnw, kunȣnj, wͽnͽnw, wͽnͽnj, wͽnȣnw, wͽnȣnj, wɑnͽnw, wɑnͽnj, wɑnȣnw, wɑnȣnj, wunͽnw, wunͽnj, wunȣnw, wunȣnj"
𐌵𐌰𐌹𐍂𐌿,https://en.wiktionary.org/wiki/𐌵𐌰𐌹𐍂𐌿#Gothic,qairu,kʷɛru,"stake, sharp_stick, thorn",n,kʷɛru,kͽrͽ,"kͽrͽ, kͽrȣ, kͽru, kɑrͽ, kɑrȣ, kɑru, kurͽ, kurȣ, kuru, korͽ, korȣ, koru, wͽrͽ, wͽrȣ, wͽru, wɑrͽ, wɑrȣ, wɑru, wurͽ, wurȣ, wuru, worͽ, worȣ, woru"
𐌵𐌰𐌹𐍂𐍂𐌴𐌹,https://en.wiktionary.org/wiki/𐌵𐌰𐌹𐍂𐍂𐌴𐌹#Gothic,qairrēi,kʷɛrreɪ,"meekness, gentleness",n,kʷɛrreɪ,kͽrrͽwͽ,"kͽrrͽwͽ, kͽrrͽwȣ̈, kͽrrͽjͽ, kͽrrͽjȣ̈, kͽrrȣ̈wͽ, kͽrrȣ̈wȣ̈, kͽrrȣ̈jͽ, kͽrrȣ̈jȣ̈, kȣ̈rrͽwͽ, kȣ̈rrͽwȣ̈, kȣ̈rrͽjͽ, kȣ̈rrͽjȣ̈, kȣ̈rrȣ̈wͽ, kȣ̈rrȣ̈wȣ̈, kȣ̈rrȣ̈jͽ, kȣ̈rrȣ̈jȣ̈, wͽrrͽwͽ, wͽrrͽwȣ̈, wͽrrͽjͽ, wͽrrͽjȣ̈, wͽrrȣ̈wͽ, wͽrrȣ̈wȣ̈, wͽrrȣ̈jͽ, wͽrrȣ̈jȣ̈, wȣ̈rrͽwͽ, wȣ̈rrͽwȣ̈, wȣ̈rrͽjͽ, wȣ̈rrͽjȣ̈, wȣ̈rrȣ̈wͽ, wȣ̈rrȣ̈wȣ̈, wȣ̈rrȣ̈jͽ, wȣ̈rrȣ̈jȣ̈"
𐌵𐌰𐌹𐍂𐍂𐌿𐍃,https://en.wiktionary.org/wiki/𐌵𐌰𐌹𐍂𐍂𐌿𐍃#Gothic,qairrus,kʷɛrrus,"gentle, patient, calm",a,kʷɛrrus,kͽrrͽsͽ,"kͽrrͽsͽ, kͽrrͽse, kͽrrȣsͽ, kͽrrȣse, kɑrrͽsͽ, kɑrrͽse, kɑrrȣsͽ, kɑrrȣse, kurrͽsͽ, kurrͽse, kurrȣsͽ, kurrȣse, wͽrrͽsͽ, wͽrrͽse, wͽrrȣsͽ, wͽrrȣse, wɑrrͽsͽ, wɑrrͽse, wɑrrȣsͽ, wɑrrȣse, wurrͽsͽ, wurrͽse, wurrȣsͽ, wurrȣse"
𐌵𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌵𐌴𐌹𐌽𐍃#Gothic,qēins,kʷeɪns,Alternative_spelling_of_𐌵𐌴𐌽𐍃,n,kʷeɪns,kͽwͽns,"kͽwͽns, kͽwȣ̈ns, kͽjͽns, kͽjȣ̈ns, kȣ̈wͽns, kȣ̈wȣ̈ns, kȣ̈jͽns, kȣ̈jȣ̈ns, kewͽns, kewȣ̈ns, kejͽns, kejȣ̈ns, wͽwͽns, wͽwȣ̈ns, wͽjͽns, wͽjȣ̈ns, wȣ̈wͽns, wȣ̈wȣ̈ns, wȣ̈jͽns, wȣ̈jȣ̈ns, wewͽns, wewȣ̈ns, wejͽns, wejȣ̈ns"
𐌵𐌴𐌽𐍃,https://en.wiktionary.org/wiki/𐌵𐌴𐌽𐍃#Gothic,qēns,kʷens,wife,n,kʷens,kͽnsͽ,"kͽnsͽ, kͽnse, kͽnsɑ, kͽnsæ, kȣ̈nsͽ, kȣ̈nse, kȣ̈nsɑ, kȣ̈nsæ, kensͽ, kense, kensɑ, kensæ, wͽnsͽ, wͽnse, wͽnsɑ, wͽnsæ, wȣ̈nsͽ, wȣ̈nse, wȣ̈nsɑ, wȣ̈nsæ, wensͽ, wense, wensɑ, wensæ"
𐌵𐌹𐌸𐌰𐌽,https://en.wiktionary.org/wiki/𐌵𐌹𐌸𐌰𐌽#Gothic,qiþan,kʷɪθan,"say, speak",v,kʷɪθ,kͽt͡ʃͽnw,"kͽt͡ʃͽnw, kͽt͡ʃͽnj, kͽt͡ʃȣ̈nw, kͽt͡ʃȣ̈nj, kͽsͽnw, kͽsͽnj, kͽsȣ̈nw, kͽsȣ̈nj, kȣ̈t͡ʃͽnw, kȣ̈t͡ʃͽnj, kȣ̈t͡ʃȣ̈nw, kȣ̈t͡ʃȣ̈nj, kȣ̈sͽnw, kȣ̈sͽnj, kȣ̈sȣ̈nw, kȣ̈sȣ̈nj, wͽt͡ʃͽnw, wͽt͡ʃͽnj, wͽt͡ʃȣ̈nw, wͽt͡ʃȣ̈nj, wͽsͽnw, wͽsͽnj, wͽsȣ̈nw, wͽsȣ̈nj, wȣ̈t͡ʃͽnw, wȣ̈t͡ʃͽnj, wȣ̈t͡ʃȣ̈nw, wȣ̈t͡ʃȣ̈nj, wȣ̈sͽnw, wȣ̈sͽnj, wȣ̈sȣ̈nw, wȣ̈sȣ̈nj"
