L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐌾𐌰𐌸𐌸𐌴,jaþþē,"if, and_if, whether__or, and_if__or_if_(_jaþþe__ja>>>",https://koeblergerhard.de/wikiling/?f=got&page=139,jaθθe,45,certain,not_reconstructed,"Konj., r",jͽt͡ʃt͡ʃͽ,"jͽt͡ʃt͡ʃͽ, jͽt͡ʃt͡ʃȣ̈, jͽt͡ʃt͡ʃe, jͽssͽ, jͽssȣ̈, jͽsse, jͽttͽ, jͽttȣ̈, jͽtte, jȣ̈t͡ʃt͡ʃͽ, jȣ̈t͡ʃt͡ʃȣ̈, jȣ̈t͡ʃt͡ʃe, jȣ̈ssͽ, jȣ̈ssȣ̈, jȣ̈sse, jȣ̈ttͽ, jȣ̈ttȣ̈, jȣ̈tte, jɑt͡ʃt͡ʃͽ, jɑt͡ʃt͡ʃȣ̈, jɑt͡ʃt͡ʃe, jɑssͽ, jɑssȣ̈, jɑsse, jɑttͽ, jɑttȣ̈, jɑtte"
𐌾𐌰𐌿,jau,"it_may_be_so_that, is_it_so_that, whether_if, regarding_whether",https://koeblergerhard.de/wikiling/?f=got&page=139,jɔ,9,certain,not_reconstructed,"Partikel, r",jͽ,"jͽ, jȣ, jo, jɤ"
𐌾𐌴𐍂,jēr,"year, name_of_jrune",https://koeblergerhard.de/wikiling/?f=got&page=139,jer,25,certain,form,"N., n",jͽrͽ,"jͽrͽ, jͽre, jͽrɑ, jͽræ, jͽru, jͽro, jͽri, jȣ̈rͽ, jȣ̈re, jȣ̈rɑ, jȣ̈ræ, jȣ̈ru, jȣ̈ro, jȣ̈ri, jerͽ, jere, jerɑ, jeræ, jeru, jero, jeri"
𐌾e𐍃𐌿𐍃,jesus,jesus,https://koeblergerhard.de/wikiling/?f=got&page=139,jesus,0,no_info,not_reconstructed,r,jͽsͽsw,"jͽsͽsw, jͽsͽsj, jͽsͽsk, jͽsȣsw, jͽsȣsj, jͽsȣsk, jͽsusw, jͽsusj, jͽsusk, jɑsͽsw, jɑsͽsj, jɑsͽsk, jɑsȣsw, jɑsȣsj, jɑsȣsk, jɑsusw, jɑsusj, jɑsusk, jusͽsw, jusͽsj, jusͽsk, jusȣsw, jusȣsj, jusȣsk, jususw, jususj, jususk"
𐌾𐌹𐌿𐌺𐌰,jiuka,"fight, battle, anger, quarrel",https://koeblergerhard.de/wikiling/?f=got&page=139,jɪuka,2,certain,form,"F., n",jͽwͽkͽ,"jͽwͽkͽ, jͽwͽkȣ̈, jͽwekͽ, jͽwekȣ̈, jͽjͽkͽ, jͽjͽkȣ̈, jͽjekͽ, jͽjekȣ̈, jȣ̈wͽkͽ, jȣ̈wͽkȣ̈, jȣ̈wekͽ, jȣ̈wekȣ̈, jȣ̈jͽkͽ, jȣ̈jͽkȣ̈, jȣ̈jekͽ, jȣ̈jekȣ̈, jiwͽkͽ, jiwͽkȣ̈, jiwekͽ, jiwekȣ̈, jijͽkͽ, jijͽkȣ̈, jijekͽ, jijekȣ̈"
𐌾𐌹𐌿𐌺𐌰𐌽,jiukan,"fight, battle, conquer, be_a_boxer",https://koeblergerhard.de/wikiling/?f=got&page=139,jɪuk,2,certain,form,"V., v",jͽwͽwk,"jͽwͽwk, jͽwȣwk, jͽwuwk, jͽjͽjk, jͽjȣjk, jͽjujk, jͽkͽkk, jͽkȣkk, jͽkukk, jɑwͽwk, jɑwȣwk, jɑwuwk, jɑjͽjk, jɑjȣjk, jɑjujk, jɑkͽkk, jɑkȣkk, jɑkukk, juwͽwk, juwȣwk, juwuwk, jujͽjk, jujȣjk, jujujk, jukͽkk, jukȣkk, jukukk"
𐌾𐌹𐌿𐌻𐌰,jiula,yule,https://koeblergerhard.de/wikiling/?f=got&page=139,jɪula,0,no_info,not_reconstructed,r,jͽwͽlͽ,"jͽwͽlͽ, jͽwͽlȣ̈, jͽwelͽ, jͽwelȣ̈, jͽjͽlͽ, jͽjͽlȣ̈, jͽjelͽ, jͽjelȣ̈, jȣ̈wͽlͽ, jȣ̈wͽlȣ̈, jȣ̈welͽ, jȣ̈welȣ̈, jȣ̈jͽlͽ, jȣ̈jͽlȣ̈, jȣ̈jelͽ, jȣ̈jelȣ̈, jiwͽlͽ, jiwͽlȣ̈, jiwelͽ, jiwelȣ̈, jijͽlͽ, jijͽlȣ̈, jijelͽ, jijelȣ̈"
𐌾𐌹𐌿𐌻e𐌹𐍃,jiuleis,"yulemonth, december",https://koeblergerhard.de/wikiling/?f=got&page=139,jɪulis,1,certain,not_reconstructed,"M., n",jͽlͽws,"jͽlͽws, jͽlͽjs, jͽlͽks, jͽlȣ̈ws, jͽlȣ̈js, jͽlȣ̈ks, jͽliws, jͽlijs, jͽliks, jȣ̈lͽws, jȣ̈lͽjs, jȣ̈lͽks, jȣ̈lȣ̈ws, jȣ̈lȣ̈js, jȣ̈lȣ̈ks, jȣ̈liws, jȣ̈lijs, jȣ̈liks, jilͽws, jilͽjs, jilͽks, jilȣ̈ws, jilȣ̈js, jilȣ̈ks, jiliws, jilijs, jiliks"
𐌾𐍉𐍄𐌰,jōta,"iota, jot",https://koeblergerhard.de/wikiling/?f=got&page=140,jota,1,certain,not_reconstructed,"M., n",jͽtͽ,"jͽtͽ, jͽtɑ, jͽtu, jͽto, jͽtȣ, jͽtɤ,, jȣtͽ, jȣtɑ, jȣtu, jȣto, jȣtȣ, jȣtɤ,, jotͽ, jotɑ, jotu, joto, jotȣ, jotɤ,"
𐌾𐌿,ju,"just_now, up_to_now, by_now, by_this_time, already",https://koeblergerhard.de/wikiling/?f=got&page=140,ju,37,certain,not_reconstructed,"Adv., r",jͽ,"jͽ, jȣ, ju"
𐌾𐌿𐌳𐌰𐌹𐍅𐌹𐍃𐌺𐍃,jūdaiwisks,jewish,https://koeblergerhard.de/wikiling/?f=got&page=140,juðɛwɪsks,2,certain,form,"Adj., a",jͽðwͽskͽ,"jͽðwͽskͽ, jͽðwͽske, jͽðwͽskɑ, jͽðwɑskͽ, jͽðwɑske, jͽðwɑskɑ, jͽðwuskͽ, jͽðwuske, jͽðwuskɑ, jȣðwͽskͽ, jȣðwͽske, jȣðwͽskɑ, jȣðwɑskͽ, jȣðwɑske, jȣðwɑskɑ, jȣðwuskͽ, jȣðwuske, jȣðwuskɑ, juðwͽskͽ, juðwͽske, juðwͽskɑ, juðwɑskͽ, juðwɑske, juðwɑskɑ, juðwuskͽ, juðwuske, juðwuskɑ"
𐌾𐌿𐌲𐌲𐌰𐌻𐌰𐌿𐌸𐍃,juggalauþs,"youth, young_man",https://koeblergerhard.de/wikiling/?f=got&page=140,juŋɡalɔθs,4,certain,not_reconstructed,"M., n",jͽŋɣͽlͽ,"jͽŋɣͽlͽ, jͽŋɣͽlȣ, jͽŋɣɑlͽ, jͽŋɣɑlȣ, jͽŋkͽlͽ, jͽŋkͽlȣ, jͽŋkɑlͽ, jͽŋkɑlȣ, jȣŋɣͽlͽ, jȣŋɣͽlȣ, jȣŋɣɑlͽ, jȣŋɣɑlȣ, jȣŋkͽlͽ, jȣŋkͽlȣ, jȣŋkɑlͽ, jȣŋkɑlȣ, juŋɣͽlͽ, juŋɣͽlȣ, juŋɣɑlͽ, juŋɣɑlȣ, juŋkͽlͽ, juŋkͽlȣ, juŋkɑlͽ, juŋkɑlȣ"
𐌾𐌿𐌲𐌲𐍃,juggs,"young, youthful",https://koeblergerhard.de/wikiling/?f=got&page=140,juŋɡs,13,certain,form,"Adj., a",jͽŋɣsͽ,"jͽŋɣsͽ, jͽŋɣse, jͽŋɣsɑ, jͽŋksͽ, jͽŋkse, jͽŋksɑ, jͽŋŋsͽ, jͽŋŋse, jͽŋŋsɑ, jȣŋɣsͽ, jȣŋɣse, jȣŋɣsɑ, jȣŋksͽ, jȣŋkse, jȣŋksɑ, jȣŋŋsͽ, jȣŋŋse, jȣŋŋsɑ, juŋɣsͽ, juŋɣse, juŋɣsɑ, juŋksͽ, juŋkse, juŋksɑ, juŋŋsͽ, juŋŋse, juŋŋsɑ"
𐌾𐌿𐌺,juk,"yoke, yoked_pair, couple, couplet, pair",https://koeblergerhard.de/wikiling/?f=got&page=140,juk,1,certain,form,"N., n",jͽkͽ,"jͽkͽ, jͽke, jͽkɑ, jͽkæ, jͽku, jͽko, jͽki, jȣkͽ, jȣke, jȣkɑ, jȣkæ, jȣku, jȣko, jȣki, jukͽ, juke, jukɑ, jukæ, juku, juko, juki"
𐌾𐌿𐌺𐌿𐌶𐌹,jukuzi,yoke,https://koeblergerhard.de/wikiling/?f=got&page=140,jukuzɪ,2,certain,form,"F., n",jͽkͽðͽ,"jͽkͽðͽ, jͽkͽðɑ, jͽkͽðu, jͽkͽðo, jͽkͽsͽ, jͽkͽsɑ, jͽkͽsu, jͽkͽso, jȣkȣðͽ, jȣkȣðɑ, jȣkȣðu, jȣkȣðo, jȣkȣsͽ, jȣkȣsɑ, jȣkȣsu, jȣkȣso, jukuðͽ, jukuðɑ, jukuðu, jukuðo, jukusͽ, jukusɑ, jukusu, jukuso"
𐌾𐌿𐌽𐌳𐌰,junda,youth,https://koeblergerhard.de/wikiling/?f=got&page=140,junda,3,certain,form,"F., n",jͽnðͽ,"jͽnðͽ, jͽnðɑ, jͽnðu, jͽnðo, jͽntͽ, jͽntɑ, jͽntu, jͽnto, jȣnðͽ, jȣnðɑ, jȣnðu, jȣnðo, jȣntͽ, jȣntɑ, jȣntu, jȣnto, junðͽ, junðɑ, junðu, junðo, juntͽ, juntɑ, juntu, junto"
𐌾𐌿𐍃,jūs,you,https://koeblergerhard.de/wikiling/?f=got&page=140,jus,896,certain,not_reconstructed,"Pron., r",jͽsͽ,"jͽsͽ, jͽse, jͽsɑ, jͽsæ, jͽsu, jͽso, jͽsi, jȣsͽ, jȣse, jȣsɑ, jȣsæ, jȣsu, jȣso, jȣsi, jusͽ, juse, jusɑ, jusæ, jusu, juso, jusi"
𐌾𐌿𐍄,jut,"you_two, ye_two, the_both_of_you",https://koeblergerhard.de/wikiling/?f=got&page=140,jut,8,certain,form,"Pron., r",jͽtͽ,"jͽtͽ, jͽte, jͽtɑ, jͽtæ, jͽtu, jͽto, jͽti, jȣtͽ, jȣte, jȣtɑ, jȣtæ, jȣtu, jȣto, jȣti, jutͽ, jute, jutɑ, jutæ, jutu, juto, juti"
𐌾𐌿𐌸𐌰𐌽,juþan,"already, by_now, by_that_time, by_then",https://koeblergerhard.de/wikiling/?f=got&page=140,juθan,15,certain,not_reconstructed,"Adv., r",jͽt͡ʃͽnw,"jͽt͡ʃͽnw, jͽt͡ʃͽnj, jͽt͡ʃɑnw, jͽt͡ʃɑnj, jͽsͽnw, jͽsͽnj, jͽsɑnw, jͽsɑnj, jȣt͡ʃͽnw, jȣt͡ʃͽnj, jȣt͡ʃɑnw, jȣt͡ʃɑnj, jȣsͽnw, jȣsͽnj, jȣsɑnw, jȣsɑnj, jut͡ʃͽnw, jut͡ʃͽnj, jut͡ʃɑnw, jut͡ʃɑnj, jusͽnw, jusͽnj, jusɑnw, jusɑnj"
𐌾𐌿𐌿𐌸𐌰𐌽,juuþan,"already, by_now, by_that_time, by_then",https://koeblergerhard.de/wikiling/?f=got&page=140,juuθan,0,uncertain,word,"Adv., r",jͽt͡ʃͽwn,"jͽt͡ʃͽwn, jͽt͡ʃͽjn, jͽt͡ʃɑwn, jͽt͡ʃɑjn, jͽsͽwn, jͽsͽjn, jͽsɑwn, jͽsɑjn, jȣt͡ʃͽwn, jȣt͡ʃͽjn, jȣt͡ʃɑwn, jȣt͡ʃɑjn, jȣsͽwn, jȣsͽjn, jȣsɑwn, jȣsɑjn, jut͡ʃͽwn, jut͡ʃͽjn, jut͡ʃɑwn, jut͡ʃɑjn, jusͽwn, jusͽjn, jusɑwn, jusɑjn"
𐌾𐌿𐌶e𐌹,jūzei,"you_who, ye_who",https://koeblergerhard.de/wikiling/?f=got&page=140,juzi,7,certain,not_reconstructed,"Pron., r",jͽðͽ,"jͽðͽ, jͽðɑ, jͽðu, jͽðo, jͽsͽ, jͽsɑ, jͽsu, jͽso, jȣðͽ, jȣðɑ, jȣðu, jȣðo, jȣsͽ, jȣsɑ, jȣsu, jȣso, juðͽ, juðɑ, juðu, juðo, jusͽ, jusɑ, jusu, juso"
𐌺,k,"k, abbreviation_for_",https://koeblergerhard.de/wikiling/?f=got&page=140,k,4,certain,not_reconstructed,"Buchstabe, r",kͽ,"kͽ, ke, kɑ, kæ, ku, ko, ki, kȣ, kȣ̈, kɤ, ky"
𐌺𐌰𐌹𐍄𐌰𐌻o𐌹𐍀𐌰,kaìtàloipá,"and_the_remains, and_the_rest, et_cetera",https://koeblergerhard.de/wikiling/?f=got&page=141,kɛtaloɪpa,1,certain,not_reconstructed,"Konj., Art., Sb., rrn",kͽtlͽpͽ,"kͽtlͽpͽ, kͽtlͽpȣ̈, kͽtlͽpɑ, kͽtlȣ̈pͽ, kͽtlȣ̈pȣ̈, kͽtlȣ̈pɑ, kͽtlipͽ, kͽtlipȣ̈, kͽtlipɑ, kȣ̈tlͽpͽ, kȣ̈tlͽpȣ̈, kȣ̈tlͽpɑ, kȣ̈tlȣ̈pͽ, kȣ̈tlȣ̈pȣ̈, kȣ̈tlȣ̈pɑ, kȣ̈tlipͽ, kȣ̈tlipȣ̈, kȣ̈tlipɑ, ketlͽpͽ, ketlͽpȣ̈, ketlͽpɑ, ketlȣ̈pͽ, ketlȣ̈pȣ̈, ketlȣ̈pɑ, ketlipͽ, ketlipȣ̈, ketlipɑ"
𐌺𐌰𐌹𐍃𐌰𐍂,kaisar,emperor,https://koeblergerhard.de/wikiling/?f=got&page=141,kɛsar,12,certain,form,"M., n",kͽsͽrw,"kͽsͽrw, kͽsͽrj, kͽsͽrk, kͽsȣ̈rw, kͽsȣ̈rj, kͽsȣ̈rk, kͽsɑrw, kͽsɑrj, kͽsɑrk, kȣ̈sͽrw, kȣ̈sͽrj, kȣ̈sͽrk, kȣ̈sȣ̈rw, kȣ̈sȣ̈rj, kȣ̈sȣ̈rk, kȣ̈sɑrw, kȣ̈sɑrj, kȣ̈sɑrk, kesͽrw, kesͽrj, kesͽrk, kesȣ̈rw, kesȣ̈rj, kesȣ̈rk, kesɑrw, kesɑrj, kesɑrk"
𐌺𐌰𐌹𐍃𐌰𐍂𐌰𐌲𐌹𐌻𐌳,kaisaragild,"caesartribute, payment_to_the_caesar, tax, census",https://koeblergerhard.de/wikiling/?f=got&page=141,kɛsaraɣɪld,1,certain,form,"N., n",kͽsrͽɣͽ,"kͽsrͽɣͽ, kͽsrͽɣȣ̈, kͽsrͽɣi, kͽsrȣ̈ɣͽ, kͽsrȣ̈ɣȣ̈, kͽsrȣ̈ɣi, kͽsrɑɣͽ, kͽsrɑɣȣ̈, kͽsrɑɣi, kȣ̈srͽɣͽ, kȣ̈srͽɣȣ̈, kȣ̈srͽɣi, kȣ̈srȣ̈ɣͽ, kȣ̈srȣ̈ɣȣ̈, kȣ̈srȣ̈ɣi, kȣ̈srɑɣͽ, kȣ̈srɑɣȣ̈, kȣ̈srɑɣi, kesrͽɣͽ, kesrͽɣȣ̈, kesrͽɣi, kesrȣ̈ɣͽ, kesrȣ̈ɣȣ̈, kesrȣ̈ɣi, kesrɑɣͽ, kesrɑɣȣ̈, kesrɑɣi"
𐌺𐌰𐌻𐌱,kalb,calf,https://koeblergerhard.de/wikiling/?f=got&page=141,kalb,0,uncertain,word,"N., n",kͽlpͽ,"kͽlpͽ, kͽlpe, kͽlpɑ, kͽlwͽ, kͽlwe, kͽlwɑ, kȣ̈lpͽ, kȣ̈lpe, kȣ̈lpɑ, kȣ̈lwͽ, kȣ̈lwe, kȣ̈lwɑ, kɑlpͽ, kɑlpe, kɑlpɑ, kɑlwͽ, kɑlwe, kɑlwɑ, kælpͽ, kælpe, kælpɑ, kælwͽ, kælwe, kælwɑ"
𐌺𐌰𐌻𐌱𐍉,kalbō,"heifer, young_cow_which_has_not_yet_calved, calf",https://koeblergerhard.de/wikiling/?f=got&page=141,kalbo,1,certain,form,"F., n",kͽlpͽ,"kͽlpͽ, kͽlpȣ, kͽlpo, kͽlwͽ, kͽlwȣ, kͽlwo, kɑlpͽ, kɑlpȣ, kɑlpo, kɑlwͽ, kɑlwȣ, kɑlwo, kulpͽ, kulpȣ, kulpo, kulwͽ, kulwȣ, kulwo, kolpͽ, kolpȣ, kolpo, kolwͽ, kolwȣ, kolwo"
𐌺𐌰𐌻𐌳𐌹𐌲𐌲𐍃,kaldiggs,"source, spring",https://koeblergerhard.de/wikiling/?f=got&page=141,kaldɪŋɡs,0,uncertain,word,"Sb., n",kͽlðͽŋɣͽ,"kͽlðͽŋɣͽ, kͽlðͽŋɣe, kͽlðͽŋkͽ, kͽlðͽŋke, kͽlðȣ̈ŋɣͽ, kͽlðȣ̈ŋɣe, kͽlðȣ̈ŋkͽ, kͽlðȣ̈ŋke, kͽltͽŋɣͽ, kͽltͽŋɣe, kͽltͽŋkͽ, kͽltͽŋke, kͽltȣ̈ŋɣͽ, kͽltȣ̈ŋɣe, kͽltȣ̈ŋkͽ, kͽltȣ̈ŋke, kȣ̈lðͽŋɣͽ, kȣ̈lðͽŋɣe, kȣ̈lðͽŋkͽ, kȣ̈lðͽŋke, kȣ̈lðȣ̈ŋɣͽ, kȣ̈lðȣ̈ŋɣe, kȣ̈lðȣ̈ŋkͽ, kȣ̈lðȣ̈ŋke, kȣ̈ltͽŋɣͽ, kȣ̈ltͽŋɣe, kȣ̈ltͽŋkͽ, kȣ̈ltͽŋke, kȣ̈ltȣ̈ŋɣͽ, kȣ̈ltȣ̈ŋɣe, kȣ̈ltȣ̈ŋkͽ, kȣ̈ltȣ̈ŋke"
𐌺𐌰𐌻𐌳𐍃,kalds,cold,https://koeblergerhard.de/wikiling/?f=got&page=141,kalds,2,certain,form,"Adj., a",kͽlðsͽ,"kͽlðsͽ, kͽlðse, kͽlðsɑ, kͽltsͽ, kͽltse, kͽltsɑ, kȣ̈lðsͽ, kȣ̈lðse, kȣ̈lðsɑ, kȣ̈ltsͽ, kȣ̈ltse, kȣ̈ltsɑ, kɑlðsͽ, kɑlðse, kɑlðsɑ, kɑltsͽ, kɑltse, kɑltsɑ, kælðsͽ, kælðse, kælðsɑ, kæltsͽ, kæltse, kæltsɑ"
𐌺𐌰𐌻𐌺𐌹𐌽𐌰𐍃𐍃𐌿𐍃,kalkinassus,"illicit_sexual_intercourse, fornication, adultery",https://koeblergerhard.de/wikiling/?f=got&page=141,kalkɪnassus,4,certain,not_reconstructed,"M., n",kͽlkͽnsͽ,"kͽlkͽnsͽ, kͽlkͽnse, kͽlkͽnsæ, kͽlkȣ̈nsͽ, kͽlkȣ̈nse, kͽlkȣ̈nsæ, kͽlkinsͽ, kͽlkinse, kͽlkinsæ, kȣ̈lkͽnsͽ, kȣ̈lkͽnse, kȣ̈lkͽnsæ, kȣ̈lkȣ̈nsͽ, kȣ̈lkȣ̈nse, kȣ̈lkȣ̈nsæ, kȣ̈lkinsͽ, kȣ̈lkinse, kȣ̈lkinsæ, kɑlkͽnsͽ, kɑlkͽnse, kɑlkͽnsæ, kɑlkȣ̈nsͽ, kɑlkȣ̈nse, kɑlkȣ̈nsæ, kɑlkinsͽ, kɑlkinse, kɑlkinsæ"
𐌺𐌰𐌻𐌺𐌹𐌽𐍉𐌽,kalkinōn,"fornicate, whore",https://koeblergerhard.de/wikiling/?f=got&page=141,kalkɪnon,0,uncertain,word,"V., v",kͽlkͽnͽ,"kͽlkͽnͽ, kͽlkͽne, kͽlkͽnæ, kͽlkȣ̈nͽ, kͽlkȣ̈ne, kͽlkȣ̈næ, kͽlkinͽ, kͽlkine, kͽlkinæ, kȣ̈lkͽnͽ, kȣ̈lkͽne, kȣ̈lkͽnæ, kȣ̈lkȣ̈nͽ, kȣ̈lkȣ̈ne, kȣ̈lkȣ̈næ, kȣ̈lkinͽ, kȣ̈lkine, kȣ̈lkinæ, kɑlkͽnͽ, kɑlkͽne, kɑlkͽnæ, kɑlkȣ̈nͽ, kɑlkȣ̈ne, kɑlkȣ̈næ, kɑlkinͽ, kɑlkine, kɑlkinæ"
𐌺𐌰𐌻𐌺𐌾𐍉,kalkjō,"whore, prostitute, harlot",https://koeblergerhard.de/wikiling/?f=got&page=141,kalkjo,1,certain,form,"F., n",kͽlkjͽ,"kͽlkjͽ, kͽlkjȣ, kͽlkjo, kɑlkjͽ, kɑlkjȣ, kɑlkjo, kulkjͽ, kulkjȣ, kulkjo, kolkjͽ, kolkjȣ, kolkjo, kȣlkjͽ, kȣlkjȣ, kȣlkjo, kɤ,lkjͽ, kɤ,lkjȣ, kɤ,lkjo"
𐌺𐌰𐌽𐌽𐌰,kanna,"race, generation",https://koeblergerhard.de/wikiling/?f=got&page=141,kanna,0,uncertain,word,"F., n",kͽnnͽ,"kͽnnͽ, kȣ̈nnȣ̈, kɑnnɑ, kænnæ"
𐌺𐌰𐌽𐌽𐌾𐌰𐌽,kannjan,"make_known, apprise_of, inform_of",https://koeblergerhard.de/wikiling/?f=got&page=141,kann̥j,9,certain,not_reconstructed,"V., v",kͽnnjͽ,"kͽnnjͽ, kͽnnje, kͽnnjɑ, kͽnnjæ, kͽnnju, kȣ̈nnjͽ, kȣ̈nnje, kȣ̈nnjɑ, kȣ̈nnjæ, kȣ̈nnju, kɑnnjͽ, kɑnnje, kɑnnjɑ, kɑnnjæ, kɑnnju, kænnjͽ, kænnje, kænnjɑ, kænnjæ, kænnju"
𐌺𐌰𐍀𐌹𐌻𐌻𐍉𐌽,kapillōn,cut_the_hair,https://koeblergerhard.de/wikiling/?f=got&page=141,kapɪllon,1,certain,not_reconstructed,"V., v",kͽpͽllͽ,"kͽpͽllͽ, kͽpͽlle, kͽpͽllæ, kͽpȣ̈llͽ, kͽpȣ̈lle, kͽpȣ̈llæ, kͽpillͽ, kͽpille, kͽpillæ, kȣ̈pͽllͽ, kȣ̈pͽlle, kȣ̈pͽllæ, kȣ̈pȣ̈llͽ, kȣ̈pȣ̈lle, kȣ̈pȣ̈llæ, kȣ̈pillͽ, kȣ̈pille, kȣ̈pillæ, kɑpͽllͽ, kɑpͽlle, kɑpͽllæ, kɑpȣ̈llͽ, kɑpȣ̈lle, kɑpȣ̈llæ, kɑpillͽ, kɑpille, kɑpillæ"
𐌺𐌰𐍀𐍀𐍉𐌽,kappōn,"shell, pod",https://koeblergerhard.de/wikiling/?f=got&page=141,kappon,0,uncertain,word,"V., v",kͽppͽnͽ,"kͽppͽnͽ, kͽppͽne, kͽppͽnɑ, kͽppȣnͽ, kͽppȣne, kͽppȣnɑ, kͽpponͽ, kͽppone, kͽpponɑ, kɑppͽnͽ, kɑppͽne, kɑppͽnɑ, kɑppȣnͽ, kɑppȣne, kɑppȣnɑ, kɑpponͽ, kɑppone, kɑpponɑ, kuppͽnͽ, kuppͽne, kuppͽnɑ, kuppȣnͽ, kuppȣne, kuppȣnɑ, kupponͽ, kuppone, kupponɑ"
𐌺𐌰𐍂𐌰,kara,"care, worry, concern",https://koeblergerhard.de/wikiling/?f=got&page=141,kara,5,certain,not_reconstructed,"F., n",kͽrͽ,"kͽrͽ, kȣ̈rȣ̈, kɑrɑ, kæræ"
𐌺𐌰𐍂𐌾𐌰,karja,anxious,https://koeblergerhard.de/wikiling/?f=got&page=141,karja,0,uncertain,word,"Adj., a",kͽrjͽ,"kͽrjͽ, kȣ̈rjȣ̈, kɑrjɑ, kærjæ"
𐌺𐌰𐍂𐌺𐌰𐍂𐌰,karkara,"prison, jail",https://koeblergerhard.de/wikiling/?f=got&page=141,karkara,11,certain,form,"F., n",kͽrkͽrͽ,"kͽrkͽrͽ, kȣ̈rkȣ̈rȣ̈, kɑrkɑrɑ, kærkæræ"
𐌺𐌰𐍂𐍉𐌽,karōn,"care_about, worry_about, be_concerned_about",https://koeblergerhard.de/wikiling/?f=got&page=142,karon,1,certain,form,"V., v",kͽrͽnw,"kͽrͽnw, kͽrͽnj, kͽrͽnk, kͽrȣnw, kͽrȣnj, kͽrȣnk, kͽronw, kͽronj, kͽronk, kɑrͽnw, kɑrͽnj, kɑrͽnk, kɑrȣnw, kɑrȣnj, kɑrȣnk, kɑronw, kɑronj, kɑronk, kurͽnw, kurͽnj, kurͽnk, kurȣnw, kurȣnj, kurȣnk, kuronw, kuronj, kuronk"
𐌺𐌰𐍂𐍀𐌰,karpa,carp,https://koeblergerhard.de/wikiling/?f=got&page=142,karpa,0,uncertain,word,"M., n",kͽrpͽ,"kͽrpͽ, kȣ̈rpȣ̈, kɑrpɑ, kærpæ"
𐌺𐌰𐍂𐍄,kart,"carriage, cart",https://koeblergerhard.de/wikiling/?f=got&page=142,kart,0,certain,word,"Sb., n",kͽrtͽ,"kͽrtͽ, kͽrte, kͽrtɑ, kͽrtæ, kͽrtu, kȣ̈rtͽ, kȣ̈rte, kȣ̈rtɑ, kȣ̈rtæ, kȣ̈rtu, kɑrtͽ, kɑrte, kɑrtɑ, kɑrtæ, kɑrtu, kærtͽ, kærte, kærtɑ, kærtæ, kærtu"
𐌺𐌰𐍃,kas,"jar, vase, vessel",https://koeblergerhard.de/wikiling/?f=got&page=142,kas,13,certain,not_reconstructed,"N., n",kͽsͽ,"kͽsͽ, kͽse, kͽsɑ, kͽsæ, kͽsu, kȣ̈sͽ, kȣ̈se, kȣ̈sɑ, kȣ̈sæ, kȣ̈su, kɑsͽ, kɑse, kɑsɑ, kɑsæ, kɑsu, kæsͽ, kæse, kæsɑ, kæsæ, kæsu"
𐌺𐌰𐍃𐌾𐌰,kasja,"potter, one_who_makes_earthenware_utensils",https://koeblergerhard.de/wikiling/?f=got&page=142,kasja,3,certain,not_reconstructed,"M., n",kͽsjͽ,"kͽsjͽ, kȣ̈sjȣ̈, kɑsjɑ, kæsjæ"
𐌺𐌰𐍄𐌹𐌻𐍃,katils,"kettle, copper_pot",https://koeblergerhard.de/wikiling/?f=got&page=142,katɪls,1,certain,form,"M., n",kͽtͽls,"kͽtͽls, kͽtȣ̈ls, kͽtils, kͽtels, kͽtjls, kȣ̈tͽls, kȣ̈tȣ̈ls, kȣ̈tils, kȣ̈tels, kȣ̈tjls, kɑtͽls, kɑtȣ̈ls, kɑtils, kɑtels, kɑtjls, kætͽls, kætȣ̈ls, kætils, kætels, kætjls"
𐌺𐌰𐍄𐌹𐌻𐌿𐍃,katilus,"kettle, copper_pot",https://koeblergerhard.de/wikiling/?f=got&page=142,katɪlus,0,certain,not_reconstructed,"M., n",kͽtͽls,"kͽtͽls, kͽtȣ̈ls, kͽtils, kͽtels, kͽtjls, kȣ̈tͽls, kȣ̈tȣ̈ls, kȣ̈tils, kȣ̈tels, kȣ̈tjls, kɑtͽls, kɑtȣ̈ls, kɑtils, kɑtels, kɑtjls, kætͽls, kætȣ̈ls, kætils, kætels, kætjls"
𐌺𐌰𐌿𐍀,kaup,"trade, bargain, buy",https://koeblergerhard.de/wikiling/?f=got&page=142,kɔp,0,certain,word,"Sb., n",kͽpͽ,"kͽpͽ, kͽpe, kͽpɑ, kͽpæ, kͽpu, kȣpͽ, kȣpe, kȣpɑ, kȣpæ, kȣpu, kopͽ, kope, kopɑ, kopæ, kopu, kɤpͽ, kɤpe, kɤpɑ, kɤpæ, kɤpu"
𐌺𐌰𐌿𐍀𐌰,kaupa,"trade, bargain, buy",https://koeblergerhard.de/wikiling/?f=got&page=142,kɔpa,0,certain,word,"Sb., n",kͽpͽ,"kͽpͽ, kͽpɑ, kͽpu, kͽpo, kͽpȣ, kȣpͽ, kȣpɑ, kȣpu, kȣpo, kȣpȣ, kopͽ, kopɑ, kopu, kopo, kopȣ, kɤpͽ, kɤpɑ, kɤpu, kɤpo, kɤpȣ"
