hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,hun_ipa,regexroot
kaláris,1458,1458,1458,kaláris,,kaláris,kaláris,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kɒlaːriʃ,^(j|m|s)?(k)(e|o|u|ɑ)(l|lk|m|ð)(u|ɑ)(jr|r)(e|i|o|u|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
karmazsin,1458,1458,1458,karmazsin,,['crimson'],crimson,1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,kɒrmɒʒin,ʒ not old/Gothic
lobog,1458,1458,1458,lobog,,"['to blaze', 'to flame', 'to flaunt', 'to flicker', 'to flutter', 'to fly, flew, flown']","blaze, flame, flaunt, flicker, flutter, fly, flew, flown","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,loboɡ,^(j|m|s)?(l)(e|i|o|u|ɑ)(mp)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
lebeg,1458,1458,1458,lebeg,,"['to be afloat', 'to be stoned', 'to be stoned out', 'to drift', 'to feather', 'to flap', 'to flicker', 'to float', 'to flutter', 'to fly, flew, flown', 'to hover', 'to levitate', 'to poise', 'to ride, rode, ridden', 'to sail', 'to sway', 'to swim, swam, swum']","be_afloat, be_stoned, be_stoned_out, drift, feather, flap, flicker, float, flutter, fly, flew, flown, hover, levitate, poise, ride, rode, ridden, sail, sway, swim, swam, swum","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,lɛbɛɡ,^(j|m|s)?(l)(e|o|æ)(mp)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
garas,1460,1460 k.,ca. 1460 ,garas,,['copper'],copper,D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,ɡɒrɒʃ,#ɡ not old/Gothic
henyél,1575,"1461 tn.,  1575","1461 placename,   1575",henyél,,"['to bum', 'to drone', 'to idle', 'to laze', 'to loll', 'to loll about', 'to lollop', 'to lounge', 'to slug']","bum, drone, idle, laze, loll, loll_about, lollop, lounge, slug",c) Szlovák jövevényszavak ,c) Slovak newcomer words,,n,hɛɲeːl,ɲ not old/Gothic
komp,1461,1461,1461,komp,,"['ferry', 'ferryboat']","ferry, ferryboat",1. Német jövevényszavak általában ?,1. German newcomer words in general?,,n,komp,mp# not old/Gothic
ám,1604,"1462  (?),  1604","1462  (?),   1604",ám,,['however'],however,1. Származékszavak ?,1. Derivatives?,,r,aːm,"#a, m# not old/Gothic"
keresztvíz,1462,1462 k.,ca. 1462 ,keresztvíz,,cross water,cross_water,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,kɛrɛstviːz,stv not old/Gothic
véd,1462,1462 k.,ca. 1462 ,véd,,"['to armor', 'to armour', 'to cover', 'to justify', 'to shelter', 'to shield', 'to stand for', 'to ward']","armor, armour, cover, justify, shelter, shield, stand_for, ward","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,veːd,^(j|m|s)?(w)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
napfény,1585,"1462 tn.,  1585","1462 placename,   1585",napfény,,"['light of day', 'sun', 'the light of day']","light_of_day, sun, the_light_of_day",13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,nɒpfeːɲ,"pf, ɲ# not old/Gothic"
selejt,1462,1462,1462,selejt,,"['no class', 'refuse', 'reject', 'scrap', 'shorts', 'spoilage', 'waste', 'waste matter', 'waste product', 'wastrel']","no_class, refuse, reject, scrap, shorts, spoilage, waste, waste_matter, waste_product, wastrel",1. Német jövevényszavak általában ,1. German newcomer words in general,,n,ʃɛlɛjt,"#ʃ, jt# not old/Gothic"
vászon,1507,"1464 tn., 1507","1464 placename,  1507",vászon,,"['canvas', 'linen']","canvas, linen",II. Iráni (például alán) jövevényszavak ?,"II. Iranian (for example, under) newcomer words?",,n,vaːson,^(j|m|s)?(w)(u|ɑ)(j|s)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
sí,1527,"1464 tn., 1527","1464 placename,  1527",sí1,,ski,ski,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,n,ʃiː,"#ʃ, i# not old/Gothic"
kopja,1464,1464,1464,kopja,,lance,lance,,,,n,kopjɒ,"pj, ɒ# not old/Gothic"
ostrom,1464,1464,1464,ostrom,,"['obsession', 'siege']","obsession, siege",1. Német jövevényszavak általában ,1. German newcomer words in general,,n,oʃtrom,"#o, ʃtr, m# not old/Gothic"
sújt,1536,"1465 tn., 1536","1465 placename,  1536",sújt,,"['to hit', 'to hit, hit', 'to smite, smote, smitten']","hit, hit, hit, smite, smote, smitten",1. Származékszavak ?,1. Derivatives?,,v,ʃuːjt,"#ʃ, jt# not old/Gothic"
cirok,1465,1465,1465,cirok,,sorghum,sorghum,c) Szlovén jövevényszavak ?,c) Slovenian newcomer words?,,n,t͡sirok,#t͡s not old/Gothic
céh,1466,1466,1466,céh,,['guild'],guild,4. Bajor jövevényszavak ,4. Bavarian newcomer words,,n,t͡seːh,"#t͡s, h# not old/Gothic"
lepke,1673,"1467  tn.  (?),  1673","1467  placename  (?),   1673",lepke,,['butterfly'],butterfly,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,n,lɛpkɛ,pk not old/Gothic
abroncs,1499,"1467 tn.,  1499","1467 placename,   1499",abroncs,,"['band', 'hoop', 'retainer ring', 'retaining ring']","band, hoop, retainer_ring, retaining_ring",,,,n,ɒbront͡ʃ,"br, nt͡ʃ# not old/Gothic"
rusnya,1548,"1468  tn.  (?),  1548","1468  placename  (?),   1548",rusnya,,ugly,ugly,b) Horvát-szerb jövevényszavak ,b) Croatian-Serbian newcomer words,,n,ruʃɲɒ,"#r, ʃɲ, ɒ# not old/Gothic"
csuklya,1508,"1468 tn.,  1508","1468 placename,   1508",csuklya,,"['cowl', 'hood']","cowl, hood",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,t͡ʃukjɒ,"#t͡ʃ, kj, ɒ# not old/Gothic"
pereg,1558,"1468 tn., 1558","1468 placename,  1558",pereg,,keep on turning,keep_on_turning,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,pɛrɛɡ,#p not old/Gothic
szilaj,1585,"1468 tn., 1585","1468 placename,  1585",szilaj,,"['boisterous', 'robustic', 'robustious', 'savage', 'tempestuous', 'turbulent', 'vehement']","boisterous, robustic, robustious, savage, tempestuous, turbulent, vehement",,,,a,silɒj,^(j|m|s)?(ʃʲ)(e|i|o|u|æ)(l|lk|m|ð)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
suta,1655,"1468 tn., 1655","1468 placename,  1655",suta,,"['ungainly', 'ungraceful']","ungainly, ungraceful",D) VÁNDORSZÓK ,D) WANDERING WORDS,,a,ʃutɒ,"#ʃ, ɒ# not old/Gothic"
ürge,1525,"1469 tn. (?), 1525 k.","1469 placename (?), ca.  1525 ",ürge,,guy,guy,a) Török jövevényszavak általában ?,a) Turkish newcomers in general?,,r,yrɡɛ,"#y, rɡ not old/Gothic"
sapka,1531,"1469 tn. (?), 1531","1469 placename (?),  1531",sapka,,"['bonnet', 'cap', 'dome', 'hat']","bonnet, cap, dome, hat",,,,n,ʃɒpkɒ,"#ʃ, pk, ɒ# not old/Gothic"
presbiter,1650,"1469 tn. (?), 1650","1469 placename (?),  1650",presbiter,,['presbyter'],presbyter,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,prɛʃbitɛr,"#pr, ʃb, r# not old/Gothic"
deszka,1498,"1469 tn., 1498","1469 placename,  1498",deszka,,['board'],board,,,,n,dɛskɒ,"#d, sk, ɒ# not old/Gothic"
kócsag,1528,"1469 tn., 1528","1469 placename,  1528",kócsag,,['heron'],heron,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,koːt͡ʃɒɡ,t͡ʃ not old/Gothic
szekerce,1528,"1469 tn., 1528","1469 placename,  1528",szekerce,,['hatchet'],hatchet,c) Szlovén jövevényszavak ?,c) Slovenian newcomer words?,,n,sɛkɛrt͡sɛ,"k, rt͡s not old/Gothic"
pocak,1784,"1469 tn., 1784","1469 placename,  1784",pocak,,"['corporation', 'paunch']","corporation, paunch",1. Származékszavak ,1. Derivatives,,n,pot͡sɒk,"#p, t͡s not old/Gothic"
félszeg,1469,1469,1469,félszeg,,"['awkward', 'gauche', 'lopsided', 'ungainly', 'ungraceful']","awkward, gauche, lopsided, ungainly, ungraceful",13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,a,feːlsɛɡ,ls not old/Gothic
szabados,1469,1469,1469,szabados,,"['freedman, freedmen', 'libertine', 'licentious', 'pornerastic']","freedman, freedmen, libertine, licentious, pornerastic",1. Származékszavak ,1. Derivatives,,a,sɒbɒdoʃ,^(j|m|s)?(ʃʲ)(e|o|u|ɑ)(mp)(e|o|u|ɑ)(mt|nt|w)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
gezemice,1470,1470 k.,ca. 1470 ,gezemice,,gezemice,gezemice,4. Játékos szóalkotással létrejött szavak ?,4. Words created with playful word formation?,,n,ɡɛzɛmit͡sɛ,"#ɡ, t͡s not old/Gothic"
himlő,1470,1470 k.,ca. 1470 ,himlő,,"['pock', 'pox', 'smallpox']","pock, pox, smallpox",1. Származékszavak ,1. Derivatives,,n,himløː,^(j|m|s)?(k)(e|i|o|u|æ)(m)(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
advent,1470,1470,1470,advent,,Advent,Advent,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,ɒdvɛnt,"dv, nt# not old/Gothic"
anyaszentegyház,1470,1470,1470,anyaszentegyház,,Holy Mother Church,Holy_Mother_Church,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,ɒɲɒsɛntɛɟhaːz,"ɲ, nt, ɟh not old/Gothic"
árboc,1470,1470,1470,árboc,,"['mast', 'pole', 'rig', 'spar']","mast, pole, rig, spar",,,,n,aːrbot͡s,"#a, rb, t͡s# not old/Gothic"
bánik,1470,1470,1470,bánik,,"['to handle', 'to manipulate', 'to use']","handle, manipulate, use",10. Szóhasadással keletkezett szavak ,10. Words formed by cleavage,,v,baːnik,^(j|m|s)?(p)(u|ɑ)(n)(e|i|o|u|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
cégér,1470,1470,1470,cégér,,['sign'],sign,6. Középnémet jövevényszavak ,6. Middle German newcomer words,,n,t͡seːɡeːr,"#t͡s, r# not old/Gothic"
fok,1470,1470,1470,fok4,,"['degree', 'extent', 'head', 'measure', 'notch', 'phase', 'rate', 'remove', 'stage']","degree, extent, head, measure, notch, phase, rate, remove, stage",11. Jelentéselkülönüléssel keletkezett szavak ,11. Words formed by difference of meaning,,n,fok,^(j|m|s)?(p)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
foldoz,1470,1470,1470,foldoz,,foldoz,foldoz,1. Származékszavak ,1. Derivatives,,n,foldoz,ld not old/Gothic
főangyal,1470,1470,1470,főangyal,,archangel,archangel,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,r,føːɒnɟɒl,"øɒ, nɟ not old/Gothic"
harisnya,1470,1470,1470,harisnya,,"['moggan', 'stockings']","moggan, stockings",b) Ukrán jövevényszavak ,b) Ukrainian newcomer words,,n,hɒriʃɲɒ,"ʃɲ, ɒ# not old/Gothic"
hódol,1470,1470,1470,hódol,,bow,bow,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,hoːdol,^(j|m|s)?(k)(e|i|o|u|ɑ)(mt|nt|w)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
kóborol,1470,1470,1470,kóborol,,"['to be on the hike', 'to knock about', 'to knock around', 'to knock about the world', 'to maunder', 'to maverick', 'to meander', 'to ramble', 'to range', 'to roam', 'to rove', 'to spatiate', 'to straggle', 'to stroll', 'to tramp', 'to trollop about']","be_on_the_hike, knock_about, knock_around, knock_about_the_world, maunder, maverick, meander, ramble, range, roam, rove, spatiate, straggle, stroll, tramp, trollop_about",1. Német jövevényszavak általában ,1. German newcomer words in general,,v,koːborol,^(j|m|s)?(k)(e|i|o|u|ɑ)(mp)(e|i|o|u|ɑ)(jr|r)(e|i|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
métely,1470,1470,1470,métely,,"['blight', 'fluke']","blight, fluke",d) Déli szláv jövevényszavak (általában) ,d) South Slavic newcomer words (usually),,n,meːtɛj,^(j|m|s)?(m)(e|i|æ)(kt|tk)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
pánt,1470,1470,1470,pánt,,"['band', 'bar', 'batten', 'brace', 'strap']","band, bar, batten, brace, strap",4. Bajor jövevényszavak ,4. Bavarian newcomer words,,n,paːnt,"#p, nt# not old/Gothic"
peng,1470,1470,1470,peng,,"['to plonk', 'to plunk', 'to twang']","plonk, plunk, twang","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,pɛnɡ,"#p, nɡ# not old/Gothic"
térít,1470,1470,1470,térít,,['to evangelize'],evangelize,1. Származékszavak ,1. Derivatives,,v,teːriːt,^(j|m|s)?(t)(e|i|æ)(jr|r)(e|i|o|u|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
szüret,1471,1471,1471,szüret,,"['grape harvest', 'vintage']","grape_harvest, vintage",1. Származékszavak ,1. Derivatives,,n,syrɛt,^(j|m|s)?(ʃʲ)(i|æ|ɑ)(jr|r)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
lednek,1471,1471,1471,lednek,,['bitter vetch'],bitter_vetch,c) Szlovák jövevényszavak ,c) Slovak newcomer words,,n,lɛdnɛk,dn not old/Gothic
tuskó,1700,"1472 tn. (?), 17. sz.  vége",end of  17. century  ,tuskó,,"['billet', 'butt', 'chump', 'clog', 'log', 'nerd', 'nurd', 'stock', 'stub', 'stump', 'trunk', 'yob', 'yobbo']","billet, butt, chump, clog, log, nerd, nurd, stock, stub, stump, trunk, yob, yobbo",1. Származékszavak ?,1. Derivatives?,,n,tuʃkoː,ʃk not old/Gothic
felemás,1472,1472,1472,felemás,,['unmatched'],unmatched,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,a,fɛlɛmaːʃ,^(j|m|s)?(p)(e|o|æ)(l|lk|m|ð)(e|o|æ)(jm|lm|m)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
sovány,1527,"1473 tn.,  1527","1473 placename,   1527",sovány,,"['attenuate', 'bare-boned', 'bony', 'extenuate', 'gaunt', 'haggard', 'hungry', 'lean', 'meager', 'meagre', 'peaky', 'scraggy', 'skinny', 'spare', 'thin', 'underweight']","attenuate, bare-boned, bony, extenuate, gaunt, haggard, hungry, lean, meager, meagre, peaky, scraggy, skinny, spare, thin, underweight","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,a,ʃovaːɲ,"#ʃ, ɲ# not old/Gothic"
alkuszik,1474,1474,1474,alkuszik,,"['to bargain', 'to chaffer']","bargain, chaffer",1. Származékszavak ,1. Derivatives,,v,ɒlkusik,lk not old/Gothic
azonnal,1474,1474,1474,azonnal,,"['anon', ""at a moment's notice"", 'forthwith', 'forthright', 'immediately', 'in a moment', 'in a trice', 'instanter', 'instantly', 'like smoke', 'now', 'off the bat', 'on the spot', 'out of hand', 'outright', 'presently', 'promptly', 'pronto', 'right', 'right away', 'right now', 'right off', 'right off the bat', 'right on end', 'straight', 'straight away', 'straight off', 'straightaway', 'straight on end', 'thereupon', 'with all speed', 'with dispatch']","anon, ""at_a_moments_notice"", forthwith, forthright, immediately, in_a_moment, in_a_trice, instanter, instantly, like_smoke, now, off_the_bat, on_the_spot, out_of_hand, outright, presently, promptly, pronto, right, right_away, right_now, right_off, right_off_the_bat, right_on_end, straight, straight_away, straight_off, straightaway, straight_on_end, thereupon, with_all_speed, with_dispatch",3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,ɒzonnɒl,nn not old/Gothic
diszciplína,1474,1474,1474,diszciplína,,disciplines,disciplines,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,dist͡sipliːnɒ,"#d, st͡s, pl, ɒ# not old/Gothic"
hacuka,1474,1474,1474,hacuka,,if CuK,if_CuK,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,hɒt͡sukɒ,"t͡s, k, ɒ# not old/Gothic"
hát,1474,1474,1474,hát2,,"['back', 'now', 'why']","back, now, why",3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,haːt,^(j|m|s)?(k)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
hideglelés,1474,1474,1474,hideglelés,,Shudder,Shudder,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,hidɛɡlɛleːʃ,ɡl not old/Gothic
idei,1474,1474,1474,idei,,from this year,from_this_year,1. Származékszavak ,1. Derivatives,,a,idɛi,ɛi# not old/Gothic
ihlet,1474,1474,1474,ihlet,,"['impulse', 'inspiration']","impulse, inspiration",1. Származékszavak ,1. Derivatives,,n,ihlɛt,hl not old/Gothic
intéz,1474,1474,1474,intéz,,"['to administer', 'to manage']","administer, manage",1. Származékszavak ?,1. Derivatives?,,v,inteːz,nt not old/Gothic
kalendárium,1474,1474,1474,kalendárium,,calendar,calendar,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kɒlɛndaːrium,"nd, iu, m# not old/Gothic"
kísér,1474,1474,1474,kísér,,"['to accompany', 'to attend', 'to chaperon', 'to chaperone', 'to escort', 'to squire']","accompany, attend, chaperon, chaperone, escort, squire","3. Ősi, ugor kori szavak ?","3. Ancient, Ugric words?",Ug?,v,kiːʃeːr,r# not old/Gothic
konfirmál,1474,1474,1474,konfirmál,,confirm,confirm,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,v,konfirmaːl,nf not old/Gothic
kotyog,1474,1474,1474,kotyog,,"['to blab', 'to blab out', 'to blatter', 'to cluck', 'to ping', 'to play', 'to slap', 'to work']","blab, blab_out, blatter, cluck, ping, play, slap, work","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,kocoɡ,c not old/Gothic
különben,1474,1474,1474,különben,,"['else', 'failing which', 'or else', 'otherwise']","else, failing_which, or_else, otherwise",3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,kylønbɛn,nb not old/Gothic
meg,1474,1474,1474,meg2,,"['added to', 'and', 'more', 'plus']","added_to, and, more, plus",9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,r,mɛɡ,^(j|m|s)?(m)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
paskol,1474,1474,1474,paskol,,spanking,spanking,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,n,pɒʃkol,"#p, ʃk not old/Gothic"
provinciális,1474,1474,1474,provinciális,,provincial,provincial,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,provint͡siaːliʃ,"#pr, nt͡s, ia not old/Gothic"
szentencia,1474,1474,1474,szentencia,,verses,verses,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,sɛntɛnt͡siɒ,"nt, nt͡s, iɒ# not old/Gothic"
szitkozódik,1474,1474,1474,szitkozódik,,"['to belch forth blasphemies', 'to belch out blasphemies', 'to bitch', 'to blaspheme', 'to cuss', 'to eff and blind', 'to rail', 'to revile', 'to swear, sware, sworn', 'to swear, swore, sworn']","belch_forth_blasphemies, belch_out_blasphemies, bitch, blaspheme, cuss, eff_and_blind, rail, revile, swear, sware, sworn, swear, swore, sworn",1. Származékszavak ,1. Derivatives,,v,sitkozoːdik,tk not old/Gothic
talán,1474,1474,1474,talán,,"['perchance', 'perhaps', 'probably']","perchance, perhaps, probably",9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,r,tɒlaːn,^(j|m|s)?(t)(e|o|u|ɑ)(l|lk|m|ð)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
tietek,1474,1474,1474,tietek,,yours,yours,3. Megszilárdult ragos alak ,3. Solidified sticky shape,,v,tiɛtɛk,iɛ not old/Gothic
villong,1474,1474,1474,villong,,Villongo,Villongo,,,,r,villonɡ,nɡ# not old/Gothic
lecke,1474,1474,1474,lecke,,"['home lessons', 'homework', 'lesson', 'prep', 'task']","home_lessons, homework, lesson, prep, task",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,lɛt͡skɛ,t͡sk not old/Gothic
cibere,1527,"1475  tn.  (?),  1527","1475  placename  (?),   1527",cibere,,Cibere,Cibere,F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,t͡sibɛrɛ,#t͡s not old/Gothic
bástya,1475,1475,1475,bástya,,"['bastion', 'house', 'tower']","bastion, house, tower",1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,baːʃcɒ,"ʃc, ɒ# not old/Gothic"
dogál,1475,1475,1475,-dogál/-degél/-dögél,+,DOGAL,DOGAL,,,,a,doɡaːl,#d not old/Gothic
degél,1475,1475,1475,-dogál/-degél/-dögél,+,Degel,Degel,,,,n,dɛɡeːl,#d not old/Gothic
dögél,1475,1475,1475,-dogál/-degél/-dögél,+,Dögel,Dögel,,,,n,døɡeːl,#d not old/Gothic
ladik,1475,1475,1475,ladik,,['punt'],punt,a) Bolgár jövevényszavak ,(a) Bulgarian newcomer words,,n,lɒdik,^(j|m|s)?(l)(e|o|u|ɑ)(mt|nt|w)(e|i|o|u|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
bég,1476,1476 k.,ca. 1476 ,bég,,bey,bey,b) Oszmán-török jövevényszavak ,b) Ottoman-Turkish newcomer words,,n,beːɡ,^(j|m|s)?(p)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
harcol,1476,1476 k.,ca. 1476 ,harcol,,"['to battle', 'to combat', 'to contend', 'to contest', 'to dispute', 'to fight, fought', 'to fray', 'to struggle', 'to war']","battle, combat, contend, contest, dispute, fight, fought, fray, struggle, war",1. Származékszavak ?,1. Derivatives?,,v,hɒrt͡sol,rt͡s not old/Gothic
kímél,1476,1476 k.,ca. 1476 ,kímél,,['to spare'],spare,1. Származékszavak ,1. Derivatives,,v,kiːmeːl,^(j|m|s)?(k)(e|i|o|u|æ)(jm|lm|m)(e|i|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
nógat,1476,1476 k.,ca. 1476 ,nógat,,"['to drive on', 'to goad', 'to prod']","drive_on, goad, prod",1. Származékszavak ,1. Derivatives,,v,noːɡɒt,^(j|m|s)?(n)(e|i|o|u|ɑ)(ŋ)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
őfelsége,1476,1476 k.,ca. 1476 ,őfelsége,,His Majesty,His_Majesty,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,øːfɛlʃeːɡɛ,"f, lʃ not old/Gothic"
bűbáj,1565,"1476 tn. (?), 1565","1476 placename (?),  1565",bűbáj,,"['charm', 'glamor', 'glamour', 'hex', 'spell', 'witchcraft']","charm, glamor, glamour, hex, spell, witchcraft",14. Ikerszavak ,14. Twin words,,n,byːbaːj,^(j|m|s)?(p)(i|æ|ɑ)(mp)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
gömb,1571,"1476 tn. (?), 1571","1476 placename (?),  1571",gömb,,"['ball', 'orb', 'sphere']","ball, orb, sphere","1. Hangutánzó, hangfestő szavak ?","1. Sound imitating, sound painting words?",,n,ɡømb,"#ɡ, mb# not old/Gothic"
csiszol,1517,"1476 tn., 1517","1476 placename,  1517",csiszol,,"['to buff', 'to chisel', 'to furbish', 'to polish', 'to refine', 'to refit', 'to smooth', 'to surface']","buff, chisel, furbish, polish, refine, refit, smooth, surface","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,t͡ʃisol,#t͡ʃ not old/Gothic
kandalló,1720,"1478  tn.  (?),  1720","1478  placename  (?),   1720",kandalló,,"['fireplace', 'hearth']","fireplace, hearth",1. Olasz (többnyire északolasz) jövevényszavak ?,1. Italian (mostly northern Italian) newcomer words?,,n,kɒndɒlloː,nd not old/Gothic
palló,1512,"1478 tn.,  1512 k.","1478 placename, ca.   1512 ",palló,,"['batten', 'footbridge', 'plank']","batten, footbridge, plank",10. Szóhasadással keletkezett szavak ,10. Words formed by cleavage,,n,pɒlloː,#p not old/Gothic
rubin,1516,"1478 tn.,  1516","1478 placename,   1516",rubin,,['ruby'],ruby,D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,rubin,#r not old/Gothic
pupák,1753,"1479  tn.  (?),  1753","1479  placename  (?),   1753",pupák,,Pupa,Pupa,,,,r,pupaːk,"#p, p, k# not old/Gothic"
sugár,1541,"1479 tn., 1541","1479 placename,  1541",sugár,,"['bar', 'beam', 'glimmer', 'jet', 'radius, radii', 'ray', 'spurt', 'stream', 'streak']","bar, beam, glimmer, jet, radius, radii, ray, spurt, stream, streak",1. Származékszavak ,1. Derivatives,,n,ʃuɡaːr,"#ʃ, r# not old/Gothic"
cipszer,1711,"1479 tn., 1711","1479 placename,  1711",cipszer,,cipszer,cipszer,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,t͡sipsɛr,"#t͡s, ps, r# not old/Gothic"
ara,1479,1479,1479,ara,,price,price,"3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,r,ɒrɒ,ɒ# not old/Gothic
cirkál,1479,1479,1479,cirkál,,"['to cruise', 'to patrol']","cruise, patrol",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,v,t͡sirkaːl,"#t͡s, rk not old/Gothic"
he,1479,1479,1479,he,,he,he,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,r,hɛ,^(j|m|s)?(k)(ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
naszád,1479,1479,1479,naszád,,['sloop'],sloop,a) Orosz jövevényszavak ?,a) Russian newcomer words?,,n,nɒsaːd,^(j|m|s)?(n)(e|o|u|ɑ)(j|s)(u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
venyige,1479,1479,1479,venyige,,vine,vine,,,,n,vɛɲiɡɛ,ɲ not old/Gothic
verseng,1479,1479,1479,verseng,,"['to battle', 'to contend', 'to contest', 'to emulate', 'to rival', 'to strive, strove, striven', 'to vie']","battle, contend, contest, emulate, rival, strive, strove, striven, vie",1. Származékszavak ?,1. Derivatives?,,v,vɛrʃɛnɡ,"rʃ, nɡ# not old/Gothic"
ecset,1533,"1480 tn. (?), 1533","1480 placename (?),  1533",ecset,,"['brush', 'paint brush', 'paintbrush']","brush, paint_brush, paintbrush",?,?,,n,ɛt͡ʃɛt,t͡ʃ not old/Gothic
ászok,1480,1480,1480,ászok,,Aces,Aces,a) Török jövevényszavak általában ?,a) Turkish newcomers in general?,,n,aːsok,#a not old/Gothic
bögyörő,1481,1481 e.,before 1481 ,bögyörő,,bögyörő,bögyörő,9. Szófajváltással keletkezett szavak ,9. Words formed by word change,,n,bøɟørøː,^(j|m|s)?(p)(e|i|æ|ɑ)(j|n)(e|i|æ|ɑ)(jr|r)(e)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
