#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung,link
2652,ie 1,got,Abkürzung,15,15,https://koeblergerhard.de/wikiling/?f=got&page=133
2653,iel,got,Sb.,,,https://koeblergerhard.de/wikiling/?f=got&page=133
2654,ieltsch,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=133
2655,ies,got,Pron.,,,https://koeblergerhard.de/wikiling/?f=got&page=133
2656,iftuma* 4,got,"Adv., Adj.",folgende,"subsequent, next adjacent",https://koeblergerhard.de/wikiling/?f=got&page=133
2657,ig 1,got,Abkürzung,13,13,https://koeblergerhard.de/wikiling/?f=got&page=133
2658,iggqar*,got,Pron.,,,https://koeblergerhard.de/wikiling/?f=got&page=133
2659,*igils,got,M.,Igel,hedgehog,https://koeblergerhard.de/wikiling/?f=got&page=133
2660,"igqar* 1, iggqar*",got,Pron.,"euch beiden gehörig, euer beider","your, of you both, of the two of you",https://koeblergerhard.de/wikiling/?f=got&page=133
2661,igqara,got,Pron.,,,https://koeblergerhard.de/wikiling/?f=got&page=134
2662,igqis,got,Pron.,,,https://koeblergerhard.de/wikiling/?f=got&page=134
2663,ih 1,got,Abkürzung,18,18,https://koeblergerhard.de/wikiling/?f=got&page=134
2664,iiz 1,got,N.,"Eis, i-Rune","ice (N.), name of i-rune",https://koeblergerhard.de/wikiling/?f=got&page=134
2665,ik 881=879,got,Pron.,ich,I,https://koeblergerhard.de/wikiling/?f=got&page=134
2666,ikei 3,got,Pron.,"der ich, ich welcher","I who, I that",https://koeblergerhard.de/wikiling/?f=got&page=134
2667,in 1814,got,"Präp., V.","in, an, auf, unter, zu, während (Konj.), bei, über, nach, gegen, um, für, bis zu>>>","in, into, unto, onto, at, within, when, while (Präp.), during, for, under, in vi>>>",https://koeblergerhard.de/wikiling/?f=got&page=134
2668,inagjan* 1,got,V.,"anfahren, bedrohen, in Angst setzen","put in a state of fear, threaten, inspire fear in, censure (V.)",https://koeblergerhard.de/wikiling/?f=got&page=134
2669,inahei* 2,got,F.,"Besonnenheit, Selbstbeherrschung","judiciousness, circumspection, prudence, sobriety",https://koeblergerhard.de/wikiling/?f=got&page=134
2670,inahs* 1,got,Adj.,"verständig, besonnen (Adj.), klug","judicious, circumspect (Adj.), prudent, wise (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=134
2671,inaljanōn* 2,got,V.,"zornig machen, reizen","jealousy provoke to jealousy, make jealous, provoke, anger (V.)",https://koeblergerhard.de/wikiling/?f=got&page=134
2672,-inassus?,got,"V., M.",,,https://koeblergerhard.de/wikiling/?f=got&page=134
2673,inbrannjan* 1,got,V.,"„anbrennen“, in Brand stecken","set afire, ignite, set on fire",https://koeblergerhard.de/wikiling/?f=got&page=134
2674,indrōbnan* 3,got,V.,"in Bestürzung geraten, erschüttert werden","begin to be troubled, start to become disturbed, become disordered",https://koeblergerhard.de/wikiling/?f=got&page=134
2675,infeinan* 6,got,V.,"sich erbarmen, gerührt sein (V.)","have compassion, be moved with compassion, have pity",https://koeblergerhard.de/wikiling/?f=got&page=134
2676,ingaleikōn* 1,got,V.,"verwandeln, umwandeln","transform the likeness into, change the resemblance into, make the appearance si>>>",https://koeblergerhard.de/wikiling/?f=got&page=134
2677,ingardja* (1) 3=2,got,M.,Hausgenosse,"household member, one of the same household",https://koeblergerhard.de/wikiling/?f=got&page=134
2678,ingardja* (2) 2,got,Adj.,im Haus befindlich,"in the house, domiciled within, resident (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=134
2679,ingdolou 1,got,Wort,,,https://koeblergerhard.de/wikiling/?f=got&page=134
2680,ingif* 1,got,N.,Gift,"poison (N.), toxicant",https://koeblergerhard.de/wikiling/?f=got&page=134
2681,ingramjan* 1,got,V.,erbittern,"incite to anger, provoke, put in a state of anger, irritate",https://koeblergerhard.de/wikiling/?f=got&page=135
2682,*ingrimjis?,got,Adj.,schrecklich,terrible,https://koeblergerhard.de/wikiling/?f=got&page=135
2683,inilō* 4,got,F.,"Entschuldigung, Vorwand, Gelegenheit","pretext, pretense, alleged reason, excuse (N.)",https://koeblergerhard.de/wikiling/?f=got&page=135
2684,*inilōn,got,V.,einwenden,"introduce as an excuse, allege as a reason for",https://koeblergerhard.de/wikiling/?f=got&page=135
2685,inkilþō 3,got,Adj.,"schwanger, Schwangere (= inkilþō subst.)","with child, pregnant",https://koeblergerhard.de/wikiling/?f=got&page=135
2686,inkunja* 1,got,M.,"Stammesgenosse, Landsmann","compatriot, fellow countryman",https://koeblergerhard.de/wikiling/?f=got&page=135
2687,inliuhtjan 3=2,got,V.,erleuchten,"enlighten, illuminate, make known",https://koeblergerhard.de/wikiling/?f=got&page=135
2688,inmaideins 2,got,F.,"Vertauschung, Tausch","exchange (N.), interchange (N.), substitution",https://koeblergerhard.de/wikiling/?f=got&page=135
2689,inmaidjan 8,got,V.,"verwandeln, verändern","transmute, transform, transfigure, transubstantiate, exchange (V.), metamorphose",https://koeblergerhard.de/wikiling/?f=got&page=135
2690,inn 9,got,"Adv., V.",hinein,"in, into, within",https://koeblergerhard.de/wikiling/?f=got&page=135
2691,inna 4,got,"Adv., V.","innen, innerhalb","within, inside (Adv.)",https://koeblergerhard.de/wikiling/?f=got&page=135
2692,innakunds* 2,got,Adj.,"zum Haus gehörig, Hausgenosse (subst.)","from within the household, of the same household",https://koeblergerhard.de/wikiling/?f=got&page=135
2693,innana 2,got,Adv.,"von innen, hinein, innen, innerhalb, inwendig (= innana gardis)","from inside, within, into the inside of (= innana gardis)",https://koeblergerhard.de/wikiling/?f=got&page=135
2694,innatbaíran* 2,got,V.,"hineinbringen, hineintragen","bear in thither, carry all the way in, bring in",https://koeblergerhard.de/wikiling/?f=got&page=135
2695,innatgaggan 8,got,V.,"„hineingehen“, hineinkommen","enter, get into, go into, come into",https://koeblergerhard.de/wikiling/?f=got&page=135
2696,innatgāhts* 1,got,F.,"Eingang, Eintritt","entrance, going into, ingress (N.)",https://koeblergerhard.de/wikiling/?f=got&page=135
2697,innattiuhan* 1,got,V.,"hineinziehen, hineinführen","bring in to, conduct in thither, usher in, lead in",https://koeblergerhard.de/wikiling/?f=got&page=135
2698,innaþrō 4,got,Adv.,"von innen, inwendig","from the interior, from within, inwardly",https://koeblergerhard.de/wikiling/?f=got&page=135
2699,inngaggan 18,got,V.,"hineingehen, fortgehen (= inngaggan framis)","go in, enter, progress (V.), proceed on",https://koeblergerhard.de/wikiling/?f=got&page=135
2700,inngaleiþan 8,got,V.,hineingehen,"enter, go in, pass in",https://koeblergerhard.de/wikiling/?f=got&page=135
2701,inniman* 1,got,V.,hernehmen,"receive, take in, get, accept (V.)",https://koeblergerhard.de/wikiling/?f=got&page=136
2702,inniujiþa 1,got,F.,"Erneuerung, Fest der Tempelweihe, Kirchweihe","inauguration, initiation, dedication, feast of the „Dedication“",https://koeblergerhard.de/wikiling/?f=got&page=136
2703,innufsliupan* 1,got,V.,"weiter hinaufschlüpfen, hineinschlüpfen","slip on in, slide past on in, slip on past in, slip in unnoticed",https://koeblergerhard.de/wikiling/?f=got&page=136
2704,innuma 3,got,"Adj., Adj.","der innere, innerlich","interior, inner",https://koeblergerhard.de/wikiling/?f=got&page=136
2705,innwaírpan* 1,got,V.,hineinwerfen,"throw in, cast in",https://koeblergerhard.de/wikiling/?f=got&page=136
2706,inraúhtjan* 2,got,V.,"erzürnt werden, zürnen, unwillig sein (V.)","growl interiously, groan (V.), utter gruff sounds to o.s., be indignant",https://koeblergerhard.de/wikiling/?f=got&page=136
2707,inreiran* 1,got,V.,"erzittern, erbeben","come to shake, begin quaking, tremble (V.)",https://koeblergerhard.de/wikiling/?f=got&page=136
2708,*ins?,got,Sb.,Schwert,sword,https://koeblergerhard.de/wikiling/?f=got&page=136
2709,insahts 6,got,F.,"Erzählung, Aussage, Zeugnis","argumentation, account (N.), exposition, explication, report (N.), story, statem>>>",https://koeblergerhard.de/wikiling/?f=got&page=136
2710,insáian* 1,got,V.,"einsäen, hineinsäen","sow in, seed in",https://koeblergerhard.de/wikiling/?f=got&page=136
2711,insaíƕan 12,got,V.,"hinsehen, ansehen, auf etwas sehen, nach etwas sehen, aufblicken, sich umsehen","look at, look upon, look thither",https://koeblergerhard.de/wikiling/?f=got&page=136
2712,insailjan* 1,got,V.,"anseilen, herablassen","affix ropes to, tie ropes onto, let down",https://koeblergerhard.de/wikiling/?f=got&page=136
2713,insakan* 6,got,V.,"vorstellen, anraten, eintreten für, bezeichnen, vortragen, anzeigen","propound an argument, present the case, expound, declare, explain, give an accou>>>",https://koeblergerhard.de/wikiling/?f=got&page=136
2714,insandjan 88,got,V.,"entsenden, hinsenden, zusenden, senden","send thither, dispatch (V.), send on a mission, send away, dismiss",https://koeblergerhard.de/wikiling/?f=got&page=136
2715,instandan* 2,got,V.,"bevorstehen, eintreten für","be impending, be imminent, be insistent, urge (V.), stand ahead",https://koeblergerhard.de/wikiling/?f=got&page=136
2716,inswinþjan 7=6,got,V.,stärken,"strengthen, make strong, impart strength to",https://koeblergerhard.de/wikiling/?f=got&page=136
2717,intandjan* 1,got,V.,"„anzünden“, verbrennen, in Brand setzen","incinerate, burn up, consume by fire",https://koeblergerhard.de/wikiling/?f=got&page=136
2718,intrusgjan 6,got,V.,einpfropfen,"graft in, ingraft",https://koeblergerhard.de/wikiling/?f=got&page=136
2719,intundnan 1,got,V.,verbrennen,"be consumed with flame, become consumed with flame, be burnt up, become burnt up>>>",https://koeblergerhard.de/wikiling/?f=got&page=136
2720,inu,got,Präp.,,,https://koeblergerhard.de/wikiling/?f=got&page=136
2721,"inuh 51, inu",got,Präp.,"ohne, außer","without, except, apart from, outside (Präp.)",https://koeblergerhard.de/wikiling/?f=got&page=137
2722,inwagjan* 2,got,V.,"erregen, aufwiegeln","agitate, unsettle, churn up, move (V.)",https://koeblergerhard.de/wikiling/?f=got&page=137
2723,inwandjan 1,got,V.,"„hineinwenden“, verdrehen, verkehren","twist into something else, pervert, subvert, distort",https://koeblergerhard.de/wikiling/?f=got&page=137
2724,inweitan* 10,got,V.,"Verehrung erweisen, begrüßen, anbeten, ansehen, verehren","pay homage to, pay respect to, salute (V.), worship (V.)",https://koeblergerhard.de/wikiling/?f=got&page=137
2725,*inweitjan?,got,V.,"anbeten, behexen","adore, worship (V.), bewitch",https://koeblergerhard.de/wikiling/?f=got&page=137
2726,inwidan* 8,got,V.,"verleugnen, für ungültig erklären","reject the connection with, deny the relatedness of, repudiate, disown, desert (>>>",https://koeblergerhard.de/wikiling/?f=got&page=137
2727,inwindiþa 6,got,F.,Ungerechtigkeit,"perverseness, wickedness, corruption, unrighteousness",https://koeblergerhard.de/wikiling/?f=got&page=137
2728,inwinds* 5,got,Adj.,"„gewunden“, ungerecht, verkehrt, verdorben","perverse (Adj.), wicked, corrupt (Adj.), unjust",https://koeblergerhard.de/wikiling/?f=got&page=137
2729,inwisan (?)* 1,got,V.,"bevorstehen (?), da sein (V.) (?)","have been discontinued, be elapsed, be no longer",https://koeblergerhard.de/wikiling/?f=got&page=137
2730,inwitōþs 1,got,Adj.,"innerhalb des Gesetzes stehend, gesetzlich","within the law, lawful, law-abiding",https://koeblergerhard.de/wikiling/?f=got&page=137
2731,iowi,got,M.,ein Gott?,a god?,https://koeblergerhard.de/wikiling/?f=got&page=137
2732,iq 1,got,Abkürzung,16,16,https://koeblergerhard.de/wikiling/?f=got&page=137
2733,is 2178,got,Pron.,er,he,https://koeblergerhard.de/wikiling/?f=got&page=137
2734,"*-isks?, *isks?",got,V.,-isch,-ish,https://koeblergerhard.de/wikiling/?f=got&page=137
2735,Israēl 37,got,"M., LN",Israel,Israel,https://koeblergerhard.de/wikiling/?f=got&page=137
2736,Israēleitēs 3,got,M.,Israelit,Israelite,https://koeblergerhard.de/wikiling/?f=got&page=137
2737,ita (1),got,Pron.,,,https://koeblergerhard.de/wikiling/?f=got&page=137
2738,ita (2),got,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=137
2739,itan 4,got,V.,essen,eat,https://koeblergerhard.de/wikiling/?f=got&page=137
2740,iþ (1) 629,got,Konj.,"aber, und, wenn, nun, also, denn","but, however, in any case, even so, so, if, in the case that",https://koeblergerhard.de/wikiling/?f=got&page=137
2741,iþ (2) 1,got,Abkürzung,19,19,https://koeblergerhard.de/wikiling/?f=got&page=138
2742,Iudaialand 1,got,"N., ON",Judäa,Judea,https://koeblergerhard.de/wikiling/?f=got&page=138
2743,Iudaius 71,got,M.,Jude,Jew,https://koeblergerhard.de/wikiling/?f=got&page=138
2744,iudaiwiskō 1,got,Adv.,auf jüdische Weise,in a jewish manner,https://koeblergerhard.de/wikiling/?f=got&page=138
2745,iudaiwiskōn 1,got,V.,jüdisch leben,live like a Jew,https://koeblergerhard.de/wikiling/?f=got&page=138
2746,*iudaiwisks?,got,Adj.,jüdisch,jewish,https://koeblergerhard.de/wikiling/?f=got&page=138
2747,iumjō* 1,got,F.,"Haufen, Menge","crowd (N.), throng (N.)",https://koeblergerhard.de/wikiling/?f=got&page=138
2748,iup 3,got,Adv.,"aufwärts, hinauf","up, upwards",https://koeblergerhard.de/wikiling/?f=got&page=138
2749,iupa 5,got,Adv.,"oben, hinauf","on high, above, aloft, high up",https://koeblergerhard.de/wikiling/?f=got&page=138
2750,iupana 1,got,Adv.,"von oben, von Anfang an, von vorne","from above, from before, again from the start, anew",https://koeblergerhard.de/wikiling/?f=got&page=138
2751,iupaþrō 8,got,Adv.,von oben,from above,https://koeblergerhard.de/wikiling/?f=got&page=138
2752,*ius?,got,Adv.,besser,better (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=138
2753,iusila 2,got,F.,"Erholung, Besserung","improvement, amelioration, betterment, ease (N.)",https://koeblergerhard.de/wikiling/?f=got&page=138
2754,*iusilōn?,got,V.,"bessern, erleichtern","improve, better (V.), ameliorate",https://koeblergerhard.de/wikiling/?f=got&page=138
2755,iusiza 1,got,Adj.,"besser, vorzüglicher","better (Adj.), superior",https://koeblergerhard.de/wikiling/?f=got&page=138
2756,*iuþa-,got,M.,Nachkomme,descendant,https://koeblergerhard.de/wikiling/?f=got&page=138
2757,iz 2,got,Abkürzung,17,17,https://koeblergerhard.de/wikiling/?f=got&page=138
2758,izei 73,got,Pron.,"der, welcher","who, he who, that, that which",https://koeblergerhard.de/wikiling/?f=got&page=138
2759,izuh?,got,"Pron., Partikel",,,https://koeblergerhard.de/wikiling/?f=got&page=138
2760,izwar 191=190,got,Pron.,euer,your,https://koeblergerhard.de/wikiling/?f=got&page=138
2761,j 7,got,Buchstabe,"j, Abkürzung für 60","j, abbreviation for 60",https://koeblergerhard.de/wikiling/?f=got&page=139
2762,ja 8,got,Partikel,ja,yes,https://koeblergerhard.de/wikiling/?f=got&page=139
2763,jabai 289=287,got,Konj.,"ob, wenn, wenn nur","whether, if",https://koeblergerhard.de/wikiling/?f=got&page=139
2764,jah 3937,got,Konj.,"und, und zwar, auch, aber, denn","indeed, even (Konj.), also, but, and",https://koeblergerhard.de/wikiling/?f=got&page=139
2765,jai 12,got,"Partikel, Adv.","ja, wahrlich, für wahr","yes, indeed, absolutely yes, certainly, surely",https://koeblergerhard.de/wikiling/?f=got&page=139
2766,*jaina?,got,"Adj., Pron.",,,https://koeblergerhard.de/wikiling/?f=got&page=139
2767,jainar 34,got,Adv.,"an jenem Ort, dort","in yon place, in that place, there",https://koeblergerhard.de/wikiling/?f=got&page=139
2768,jaind 1,got,Adv.,dorthin,"to yon place, to that place, thither",https://koeblergerhard.de/wikiling/?f=got&page=139
2769,jaindrē 1,got,Adv.,dorthin,"to yon place, into that place, thither",https://koeblergerhard.de/wikiling/?f=got&page=139
2770,jaindwaírþs 1,got,Adj.,dorthin gewandt,"„thitherward“, turned toward that place",https://koeblergerhard.de/wikiling/?f=got&page=139
2771,jains* 106,got,"Adj., Pron.",jener,"that, yon, those",https://koeblergerhard.de/wikiling/?f=got&page=139
2772,jainþrō 13,got,Adv.,"dorther, von dort","thence, from yon place, from that place",https://koeblergerhard.de/wikiling/?f=got&page=139
2773,jaþþē 45,got,Konj.,"und wenn, sei es dass, gleichviel ob, entweder ... oder (= jaþþe ... jaþþe)","if, and if, whether ... or (= jaþþe ... jaþþe), and if ... or if (= jaþþe ... ja>>>",https://koeblergerhard.de/wikiling/?f=got&page=139
2774,jau 9,got,Partikel,ob,"it may be so that, is it so that, whether if, regarding whether",https://koeblergerhard.de/wikiling/?f=got&page=139
2775,jēr* 25=24,got,N.,"Jahr, Zeit, j-Rune","year, name of j-rune",https://koeblergerhard.de/wikiling/?f=got&page=139
2776,Jesus,got,"M., PN",Jesus,Jesus,https://koeblergerhard.de/wikiling/?f=got&page=139
2777,jiuka* 2,got,F.,"Zornausbruch, Streit","fight (N.), battle (N.), anger (N.), quarrel (N.)",https://koeblergerhard.de/wikiling/?f=got&page=139
2778,jiukan* 2,got,V.,"kämpfen, ringen, obsiegen","fight (V.), battle (V.), conquer, be a boxer",https://koeblergerhard.de/wikiling/?f=got&page=139
2779,*Jiula?,got,N.,Julfest,Yule,https://koeblergerhard.de/wikiling/?f=got&page=139
2780,jiuleis 1,got,M.,"Julmonat, Dezember","Yule-month, December",https://koeblergerhard.de/wikiling/?f=got&page=139
2781,jōta 1,got,M.,"Jota, Pünktchen","iota, jot",https://koeblergerhard.de/wikiling/?f=got&page=140
2782,jq 1,got,Abkürzung,66,66,https://koeblergerhard.de/wikiling/?f=got&page=140
2783,ju 37,got,Adv.,"schon, doch, nun, jetzt","just now, up to now, by now, by this time, already",https://koeblergerhard.de/wikiling/?f=got&page=140
2784,Jūdaius,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=140
2785,jūdaiwisks* 2,got,Adj.,jüdisch,jewish,https://koeblergerhard.de/wikiling/?f=got&page=140
2786,juggalauþs 4,got,M.,Jüngling,"youth, young man",https://koeblergerhard.de/wikiling/?f=got&page=140
2787,juggs* 13,got,Adj.,"jung, jugendlich","young, youthful",https://koeblergerhard.de/wikiling/?f=got&page=140
2788,jūhiza,got,"Adj., Adj.",,,https://koeblergerhard.de/wikiling/?f=got&page=140
2789,juk* 1,got,N.,"Gespann, Joch, Paar","yoke (N.), yoked pair, couple (N.), couplet, pair (N.)",https://koeblergerhard.de/wikiling/?f=got&page=140
2790,*juka?,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=140
2791,*jukō?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=140
2792,jukuzi* 2,got,F.,Joch,yoke (N.),https://koeblergerhard.de/wikiling/?f=got&page=140
2793,junda* 3,got,F.,Jugend,youth,https://koeblergerhard.de/wikiling/?f=got&page=140
2794,junds,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=140
2795,jūs 896=892,got,Pron.,ihr (2. Pers. Pl.),you (2nd pers. pl.),https://koeblergerhard.de/wikiling/?f=got&page=140
2796,jut* 8,got,Pron.,ihr beide,"you two, ye two, the both of you",https://koeblergerhard.de/wikiling/?f=got&page=140
2797,"juþan 15, *juuþan",got,Adv.,schon,"already, by now, by that time, by then",https://koeblergerhard.de/wikiling/?f=got&page=140
2798,*juuþan?,got,Adv.,,,https://koeblergerhard.de/wikiling/?f=got&page=140
2799,jūzei 7,got,Pron.,"ihr welche, die ihr","you who, ye who",https://koeblergerhard.de/wikiling/?f=got&page=140
2800,k 4,got,Buchstabe,"k, Abkürzung für 20","k, abbreviation for 20",https://koeblergerhard.de/wikiling/?f=got&page=140
2801,*-ka-,got,"Partikel, V.",,,https://koeblergerhard.de/wikiling/?f=got&page=141
2802,ka 1,got,Abkürzung,21,21,https://koeblergerhard.de/wikiling/?f=got&page=141
2803,kaì tà loipá 1,got,"Konj., Art., Sb.",und so weiter,"and the remains, and the rest, et cetera",https://koeblergerhard.de/wikiling/?f=got&page=141
2804,kaisar* 12,got,M.,Kaiser,emperor,https://koeblergerhard.de/wikiling/?f=got&page=141
2805,kaisaragild* 1,got,N.,"„Kaisergeld“, Zensus, Steuer (F.), Kaisersteuer","Caesar-tribute, payment to the Caesar, tax (N.), census",https://koeblergerhard.de/wikiling/?f=got&page=141
2806,*kalb?,got,N.,Kalb,calf,https://koeblergerhard.de/wikiling/?f=got&page=141
2807,kalbō* 1,got,F.,"junge Kuh, weibliches Kalb, Kalbe","heifer, young cow which has not yet calved, calf",https://koeblergerhard.de/wikiling/?f=got&page=141
2808,*kaldiggs?,got,Sb.,"Quelle, Brunnen","source, spring (N.)",https://koeblergerhard.de/wikiling/?f=got&page=141
2809,kalds* 2,got,Adj.,kalt,cold (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=141
2810,kalkinassus 4,got,M.,"Hurerei, Unzucht","illicit sexual intercourse, fornication, adultery",https://koeblergerhard.de/wikiling/?f=got&page=141
2811,*kalkinōn?,got,V.,"Unzucht treiben, huren","fornicate, whore (V.)",https://koeblergerhard.de/wikiling/?f=got&page=141
2812,kalkjō* 1,got,F.,Hure,"whore (F.), prostitute (F.), harlot",https://koeblergerhard.de/wikiling/?f=got&page=141
2813,kann,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=141
2814,*kanna?,got,F.,"Geschlecht?, Nachkommenschaft?","race (N.), generation",https://koeblergerhard.de/wikiling/?f=got&page=141
2815,kannjan 9,got,V.,"kund tun, bekanntmachen, empfehlen, verkünden","make known, apprise of, inform of",https://koeblergerhard.de/wikiling/?f=got&page=141
2816,kapillōn 1,got,V.,"das Haar abschneiden, scheren",cut the hair,https://koeblergerhard.de/wikiling/?f=got&page=141
2817,*kappōn?,got,V.,"hauen, schneiden","shell (V.), pod (V.)",https://koeblergerhard.de/wikiling/?f=got&page=141
2818,kara 5,got,F.,Sorge,"care (N.), worry (N.), concern (N.)",https://koeblergerhard.de/wikiling/?f=got&page=141
2819,*karja?,got,Adj.,besorgt,anxious,https://koeblergerhard.de/wikiling/?f=got&page=141
2820,karkara* 11,got,F.,"Kerker, Gefängnis","prison, jail",https://koeblergerhard.de/wikiling/?f=got&page=141
2821,karōn* 1,got,V.,sich kümmern,"care about, worry about, be concerned about",https://koeblergerhard.de/wikiling/?f=got&page=142
2822,*karpa?,got,M.,Karpfen,carp,https://koeblergerhard.de/wikiling/?f=got&page=142
2823,*kart-,got,Sb.,Wagen,"carriage, cart",https://koeblergerhard.de/wikiling/?f=got&page=142
2824,kas 13,got,N.,Gefäß,"jar, vase, vessel",https://koeblergerhard.de/wikiling/?f=got&page=142
2825,kasja 3,got,M.,Töpfer,"potter, one who makes earthenware utensils",https://koeblergerhard.de/wikiling/?f=got&page=142
2826,"katils* 1, katilus",got,M.,Kessel,"kettle, copper pot",https://koeblergerhard.de/wikiling/?f=got&page=142
2827,*kauns?,got,Sb.,,,https://koeblergerhard.de/wikiling/?f=got&page=142
2828,"*kaup, *kaupa?",got,Sb.,"Handel, Kauf","trade (N.), bargain (N.), buy (N.)",https://koeblergerhard.de/wikiling/?f=got&page=142
2829,*kaupa,got,Sb.,,,https://koeblergerhard.de/wikiling/?f=got&page=142
2830,kaupatjan 4,got,V.,"ohrfeigen, Faustschlag geben","buffet (V.), pommel (V.), cuff (V.), strike with the fist",https://koeblergerhard.de/wikiling/?f=got&page=142
2831,kaupōn* 1,got,V.,"Geschäfte machen, Handel treiben","transact business, trade (V.), bargain (V.)",https://koeblergerhard.de/wikiling/?f=got&page=142
2832,kaúrban 1,got,N.,"Gabe, fromme Stiftung, Opfer","corban, material offering consecrated to God and given to the temple treasury",https://koeblergerhard.de/wikiling/?f=got&page=142
2833,kaúrbaúnas* 1,got,M.,Tempelschatz,temple treasury,https://koeblergerhard.de/wikiling/?f=got&page=142
2834,kaúrei* 1,got,F.,"Schwere, Fülle, Last","weight (N.), weightiness, heaviness, load (N.)",https://koeblergerhard.de/wikiling/?f=got&page=142
2835,*kaúreins,got,F.,"Schwere, Beschwerlichkeit",burden (N.),https://koeblergerhard.de/wikiling/?f=got&page=142
2836,kaúriþa* 1,got,F.,"Last, Schwere","weight (N.), burden (N.)",https://koeblergerhard.de/wikiling/?f=got&page=142
2837,kaúrjan* 11,got,V.,"drücken, belästigen, beschweren","weigh down, burden (V.), lie (V.) (2) heavy upon, oppress",https://koeblergerhard.de/wikiling/?f=got&page=142
2838,kaúrn* 4,got,N.,"Korn, Getreide, Weizen","grain, wheat, granular fruit of the cereal grasses",https://koeblergerhard.de/wikiling/?f=got&page=142
2839,kaúrnō 3,got,N.,Korn,"kernel, granule, grain seed",https://koeblergerhard.de/wikiling/?f=got&page=142
2840,kaúrus* 1,got,Adj.,"schwer, lästig","heavy, burdensome, weighty, oppressive",https://koeblergerhard.de/wikiling/?f=got&page=142
2841,kausjan 7,got,V.,"kosten (V.) (2), kennen lernen, prüfen","sample (V.), experience (V.), taste (V.), try out, test (V.), prove (V.)",https://koeblergerhard.de/wikiling/?f=got&page=143
2842,kawtsjō* 4,got,F.,"Sicherheit, Bürgschaft, Verschreibung","contract for buying on credit, credit contract, security, bond (N.), warrenty",https://koeblergerhard.de/wikiling/?f=got&page=143
2843,kb 1,got,Abkürzung,22,22,https://koeblergerhard.de/wikiling/?f=got&page=143
2844,kd 2,got,Abkürzung,24,24,https://koeblergerhard.de/wikiling/?f=got&page=143
2845,ke 2,got,Abkürzung,25,25,https://koeblergerhard.de/wikiling/?f=got&page=143
2846,keinan* 1,got,V.,keimen,"germinate, sprout (V.), bud (V.)",https://koeblergerhard.de/wikiling/?f=got&page=143
2847,kēlikn* 3,got,N.,"Turm, Speisesaal im Obergeschoß, Söller","tower (N.), upper room, loft (N.), upstairs room",https://koeblergerhard.de/wikiling/?f=got&page=143
2848,kg 2,got,Abkürzung,23,23,https://koeblergerhard.de/wikiling/?f=got&page=143
2849,kh 2,got,Abkürzung,28,28,https://koeblergerhard.de/wikiling/?f=got&page=143
2850,*kilan?,got,V.,"schlucken, schlingen","swallow (V.), bolt (V.) (1)",https://koeblergerhard.de/wikiling/?f=got&page=143
2851,kilemsch,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=143
2852,kilemschkop 1,got,"V., Sb.",trinke den Becher aus,drink up your cup,https://koeblergerhard.de/wikiling/?f=got&page=143
2853,*kilþ?,got,N.,Kind,child,https://koeblergerhard.de/wikiling/?f=got&page=143
2854,kilþei* 2,got,F.,Mutterleib,"womb, uterus",https://koeblergerhard.de/wikiling/?f=got&page=143
2855,*kilþō?,got,,,,https://koeblergerhard.de/wikiling/?f=got&page=143
2856,*kind,got,N.,Kind,child,https://koeblergerhard.de/wikiling/?f=got&page=143
2857,kindins 7,got,M.,"Statthalter, Landpfleger","governor, ruler, ethnarch",https://koeblergerhard.de/wikiling/?f=got&page=143
2858,*kinds?,got,F.,"Kind, Geschlecht, Art","kind (N.), lineage, tribe, clan, child",https://koeblergerhard.de/wikiling/?f=got&page=143
2859,kinnus* 2,got,F.,Wange,"cheek, jawbone",https://koeblergerhard.de/wikiling/?f=got&page=143
2860,*kinta?,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=143
2861,kintus* 1,got,M.,Heller,"cent, penny",https://koeblergerhard.de/wikiling/?f=got&page=144
2862,kiusan* 2,got,V.,"prüfen, wählen","put to a test, test (V.), examine by testing, prove by trial, prove by test",https://koeblergerhard.de/wikiling/?f=got&page=144
2863,*klahei?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=144
2864,*klahs?,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=144
2865,klismjan* 1,got,V.,"gellen, klingen, schallen","clang (V.), jangle (V.)",https://koeblergerhard.de/wikiling/?f=got&page=144
2866,klismō 1,got,F.,"Becken, Zimbel, Klingel, Schelle","cymbal, gong (N.)",https://koeblergerhard.de/wikiling/?f=got&page=144
