#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung
2173,glaggwō 1,got,Adv.,genau,"meticulously, with attention to detail, accurately"
2174,*glaggws?,got,Adj.,genau,"meticulous, with attention to detail"
2175,glaggwuba 1,got,Adv.,genau,"meticulously, with attention to detail, precisely"
2176,*glitmuni?,got,F.,Glanz,"radiance, glistening, gleam (N.)"
2177,glitmunjan* 1,got,V.,glänzen,"glisten, gleam (V.)"
2178,*glōfa?,got,F.,Handschuh,glove
2179,gōdakunds 1,got,Adj.,"von guter Abkunft, edlen Geschlechts","of noble birth, well-born, of good descent"
2180,gōdei* 1,got,F.,"Tugend, Tüchtigkeit, Güte","goodness, virtue (N.), moral excellence"
2181,gōleins 6,got,F.,Gruß,"greeting (N.), salutation"
2182,gōljan 19,got,V.,grüßen,"greet, salute (V.)"
2183,goltz,got,N.,,
2184,*gōma,got,M.,Gaumen,palate
2185,Goti,got,M.,Goten,Goths
2186,Goþiscandza 2,got,F.,Gotenende? (an der Weichsel?),end of the gothic region
2187,gōþs 89,got,Adj.,"gut, schön, tüchtig","good (Adj.), of good quality, kind (Adj.), beautiful"
2188,graba* 1,got,F.,Graben (M.),"trench (N.), ditch (N.), fosse (N.), rampart"
2189,graban 2,got,V.,graben,dig (V.)
2190,*grama?,got,M.,Gram,"grief (N.), sorrow (N.)"
2191,gramjan* 1,got,V.,"erzürnen, aufregen","make angry, provoke"
2192,*grams,got,Adj.,zornig,angry
2193,gramst* 3,got,"M., N.","Holzsplitter, Splitter","speck (N.), chip (N.), splinter (N.)"
2194,*grana,got,F.,"Bart?, Barthaar?, Zopf?","beard?, plait?"
2195,*granō?,got,F.,"Bart?, Barthaar?, Zopf?","beard?, plait?"
2196,granus* 1,got,F.,"Bart?, Barthaar?, Zopf?","beard?, plait?"
2197,gras* 3,got,N.,"Gras, Kraut","grass (N.), weeds, green growth, green vegetable"
2198,"*Grautungōs, *Grautuggōs",got,M.,"Greutungen, Ostgoten",Ostrogoths
2199,grēdags 11,got,Adj.,hungrig,hungry
2200,grēdōn* 1,got,V.,hungern,"be hungry, hunger (V.)"
2201,grēdus* 1,got,M.,Hunger,"hungriness, hunger (N.)"
2202,*grēfan?,got,V.,"gebieten, anordnen","command (V.), order (V.)"
2203,*grēfts?,got,F.,"Beschluss, Verordnung, Befehl","what is resolved, resolution, decree (N.), resoluteness, determination"
2204,"*greima, *grīma",got,F.,Maske,mask (N.)
2205,greipan 4,got,V.,"greifen, ergreifen","seize, grasp (V.), apprehend"
2206,*greiseis?,got,Adj.,"greis, grau","grey, aged"
2207,Greotingi*,got,M.,Ostgoten,Ostrogoths
2208,grētan 21,got,V.,"weinen, klagen","weep (V.), cry (V.), lament"
2209,grēts 1,got,M.,Weinen,"weeping (N.), crying (N.)"
2210,*greut-,got,M.,"Grieß, Sand",grit (N.)
2211,*grēws,got,Adj.,grau,grey
2212,*grīma,got,F.,,
2213,*grimjis,got,Adj.,,
2214,*grimman?,got,V.,"ergrimmen, zürnen","become furious, incense (V.)"
2215,*grimmiþa?,got,F.,Grimm,"fury, wrath, ire"
2216,*grimms?,got,Adj.,"grimmig, zornig, schrecklich","furious, wrathful"
2217,grindafraþjis* 1,got,Adj.,kleinmütig,"demoralized, crushed in spirit, faint-hearted"
2218,*grindan?,got,V.,zerreiben,grind
2219,*grinds?,got,Adj.,zerrieben,"ground (Adj.), pulverized, crushed"
2220,*gris?,got,Sb.,Schrecken,"terror (N.), horror"
2221,griþs* 1,got,F.,"Schritt, Stufe","step (N.), pace (N.), stair, standing (N.)"
2222,*Griutuggōs?,got,M.,Ostgoten,Ostrogoths
2223,grōba* 2,got,F.,"Grube, Höhle","dugout, hole (N.), burrow (N.), cave (N.)"
2224,*grudja?,got,,,
2225,*grundiþa?,got,F.,Grund?,ground (N.)?
2226,*grundus,got,M.,Grund?,ground (N.)?
2227,grunduwaddjus 5,got,M.,Grundmauer,"ground-wall, foundation-wall, wall-base, groundwork"
2228,*grūts,got,M.,Grütze (F.) (1),groats
2229,*Grūtungi,got,M.,Ostgoten,Ostrogoths
2230,*gudaba,got,Adv.,fromm,godly
2231,gudafaúrhts 1,got,Adj.,gottesfürchtig,"God-fearing, devout"
2232,gudalaus* 21,got,Adj.,gottlos,"godless, without God"
2233,gudaskaunei* 1,got,F.,Gottesgestalt,"the form of God, divine aspect, godly form"
2234,"gudblōstreis 1, guþblōstreis",got,M.,Gottesverehrer,worshipper of God
2235,*gudei?,got,F.,Frömmigkeit,"godliness, piety, devotion, saintliness"
2236,gudhūs* 1,got,N.,"Gotteshaus, Tempel","house of God, temple"
2237,gudisks* 43,got,Adj.,göttlich,"godly, divine"
2238,gudja 54,got,M.,Priester,priest
2239,gudjinassus* 2,got,M.,Priestertum,"priest-hood, priestcraft"
2240,gudjinōn* 1,got,V.,"Priester sein (V.), das Priesteramt verrichten","be a priest, officate as priest, perform in sacredotal capacity"
2241,gulþ* 2,got,N.,Gold,gold
2242,gulþeins* 1,got,Adj.,golden,golden
2243,guma 4,got,M.,Mann,"male human being, man (M.)"
2244,gumakunds* 2,got,Adj.,männlich,"male (Adj.), of the male sex"
2245,gumein* 1,got,N.,Männchen,"male (N.), male animal"
2246,*gumeins?,got,Adj.,männlich,male
2247,gund 1,got,N.,"Krebsgeschwür, Geschwür",gangrene
2248,*gunþi?,got,F.,Kampf,"fight (N.), struggle (N.)"
2249,*gunþs?,got,M.,Kampf,"fight (N.), struggle (N.)"
2250,Guta*,got,M.,Gote,Goth
2251,Gutan* 1,got,M.,Goten,Goths
2252,*gutisks?,got,Adj.,gotisch,gothic
2253,*gutnan?,got,V.,gegossen werden,"become poured out, become spilled out"
2254,*Gutō?,got,F.,Gotin,female Goth
2255,Gutþiuda* 2,got,F.,Gotenvolk,"Gothic people, Goths’ own name for themselves"
2256,guþ 570567,got,M.,"„Angerufener“, Gott, Götze",God
2257,guþblōstreis,got,M.,,
2258,"*-guþs?, *guþs?",got,Adj.,,
2259,#NAME?,got,V.,,
2260,h 2,got,Buchstabe,"h, Abkürzung für 8","h, abbreviation for 8"
2261,haal,got,N.,,
2262,haban 274272,got,V.,"haben, besitzen, inne haben, meinen, halten, werden, sich befinden, können, woll>>>","have, possess (V.), hold (V.), have hold of, take hold of, have at one’s disposa>>>"
2263,habands,got,"V., Adj.",habend,having
2264,hafjan* 1,got,V.,"heben, aufheben","hold up, bear up, lift (V.)"
2265,*hafnan?,got,V.,sich heben,hold up o.s.
2266,haftjan* (sik) 4,got,V.,"(sich) heften, anhängen, anheften","hold to, adhere to, hold o.s. to, make o.s. adhere to"
2267,*haftnan?,got,V.,angeheftet werden,become adhered to
2268,hafts* (1) 1,got,"V., Adj.",behaftet,"bound (Adj.), joined, laden with, subject to"
2269,*hafts (2),got,F.,,
2270,*hagja?,got,M.,"Pfleger, Heger","orderly (M.), guardian"
2271,*hagka?,got,F.,Hüfte,hip
2272,hagl* 1,got,N.,"Hagel, h-Rune","hail (N.), name of h-rune"
2273,*hāh?,got,N.,"Hängen, Hang",hang (N.)
2274,hāhan* (1) 1,got,V.,"hängen, schweben lassen","hang (V.), make hang, suspend (V.), let hang in suspense"
2275,hāhan* (2) 1,got,V.,hangen,"hang (V.), be suspended, cling to"
2276,*hāhjis?,got,Adj.,hängend,hanging
2277,*hāhjō?,got,Adv.,,
2278,Haíbraius 3,got,M.,Hebräer,Hebrew
2279,haidus* 4,got,M.,"Art (F.) (1), Weise (F.) (2)","manner (N.), mode, fashion (N.), way (N.)"
2280,haifstjan 4,got,V.,streiten,"compete in a contest, contend, rival (V.), vie with, strive in competition, figh>>>"
2281,haifsts* 1211,got,F.,"Streit, Zank","contestation, competition, rivalry, striving in competition, conflict (N.)"
2282,haihs* 1,got,Adj.,einäugig,one-eyed
2283,hailags* 1,got,Adj.,"heilig, geweiht","holy, sacrosanct, sacred and inviolable"
2284,*haili?,got,N.,Heil,"wellbeing, good (N.)"
2285,hailisks* 1,got,Adj.,"heil, lebendig","alive, well (Adj.), healthy"
2286,*hailiþs?,got,"V., Adj.",,
2287,hailjan 6,got,V.,heilen (V.) (1),"heal (V.), cure (V.)"
2288,*hailnan?,got,V.,geheilt werden,become healed
2289,hails (1) 15,got,Adj.,"heil, gesund, wohl","healthy, hale (Adj.), whole, sound (Adj.)"
2290,hails (2) 3,got,Interj.,sei gegrüßt,hail (Interj.)
2291,*haima?,got,F.,Land,land (N.)
2292,"*haimeis, *haims",got,Adj.,heimisch,home (Adj.)
2293,haimōþli* 2,got,N.,"Grundbesitz, Familiengut","patrimonial land, inherited land property, patrimonial homestead"
2294,haims* (1) 14,got,F.,"Dorf, Land (= haimōs), Flecken","village, rural town"
2295,*haims (2),got,Adj.,,
2296,hairaíseis 1,got,F.,"Parteien, Ketzerei?","dissension, factions, divisions, factionalism, discord (N.), heresies"
2297,haírda 8,got,F.,Herde,"herd (N.), flock (N.)"
2298,haírdeis 12,got,M.,Hirt,"herdsman, shepherd (M.)"
2299,*haírtei,got,F.,,
2300,*haírtiþa,got,F.,,
2301,haírtō 76,got,N.,Herz,heart
2302,#NAME?,got,Adj.,#NAME?,hearted
2303,haírþra 2,got,N.,"Eingeweide, Herz, Inneres","intestines, viscera, entrails, heart, bosom, inner being"
2304,haírus 10,got,M.,Schwert,"sword, sabre"
2305,hais* 1,got,N.,Fackel,"torch (N.), flambeau"
2306,*haista,got,,,
2307,*hait,got,N.,,
2308,haitan 64,got,V.,"heißen, nennen, genannt werden, rufen, einladen (V.) (2), befehlen","address (V.), speak to, call (V.), invite (V.), bid (V.), command (V.), order (V>>>"
2309,haiti* 2,got,F.,"Geheiß, Befehl","behest, order (N.), command (N.), promise (N.)"
2310,*haitja?,got,M.,„Heißer“,commander
2311,"*haiþas, haiþae",got,M.,,
2312,haiþi* 5,got,F.,"Heide (F.) (1), Steppe, Feld, Acker",open field
2313,haiþiwisks* 1,got,Adj.,wild,"of the open field, of the countryside, wild (Adj.)"
2314,haiþnō 1,got,F.,Heidin,heathen woman
2315,*haiþns,got,Adj.,heidnisch,heathen (Adj.)
2316,*hakiljan,got,V.,hecheln,heckle (V.)
2317,hakuls* 1,got,M.,Mantel,"cloak, travelling cloak"
2318,halba* 2,got,F.,"Hälfte, Seite, Teil","half (N.), bisection, section, side of reference, facet, aspect"
2319,halbs* 2,got,Adj.,halb,half (Adj.)
2320,haldan 9,got,V.,"hüten, weiden, halten","herd (V.), shepherd (V.), tend, keep watch over, graze cattle"
2321,haldis 1,got,"Adv., Adj.","mehr, lieber","more likely, more surely, more"
2322,*halis?,got,Adv.,kaum,"hardly, scarcely"
2323,halisaiw 1,got,Adv.,"kaum je, kaum","hardly ever, scarcely ever"
2324,halja 4,got,F.,Hölle,hell
2325,haljōrūna* 1,got,F.,"Hexe, Zauberweib","witch, magician (F.)"
2326,halks* 2,got,Adj.,"leer, umsonst, dürftig, armselig","futile, in vain, weak"
2327,hallus* 1,got,M.,"Fels, Stein","stone slab, stone block, boulder, rock (N.)"
2328,hals* 1,got,M.,Hals,neck (N.)
2329,halsagga* 1,got,M.,"Hals, Nacken","neck (N.), narrow of the neck"
2330,halts* 5,got,Adj.,lahm,"crippled, halt (Adj.), lame"
2331,*halþei,got,F.,Neigung,incline (N.)
2332,*halþs,got,Adj.,geneigt,"leaning (Adj.), leaning toward, inclined (Adj.), inclined toward, tending toward"
2333,hamfs* 1,got,Adj.,"verstümmelt, gekrümmt, lahm","maimed, mutilated, club-handed"
2334,*hamōn?,got,V.,kleiden,dress (V.)
2335,*hams?,got,M.,Hülle,"clothing, hide (N.), covering (N.)"
2336,hana 7,got,M.,Hahn,"cock (M.), rooster"
2337,handa 1,got,F.,Hand,hand (N.)
2338,*handja?,got,,,
2339,handugei 2019,got,F.,"Weisheit, Klugheit, Geschicklichkeit",wisdom
2340,handugs 2,got,Adj.,"weise, klug, geschickt",wise
2341,handus 73,got,F.,Hand,hand (N.)
2342,handuwaúrhts* 2,got,Adj.,"handgemacht, mit der Hand gemacht","hand-wrought, made by hands"
2343,*hanō?,got,F.,"Huhn, Henne","chicken, hen"
2344,hansa 4,got,F.,"Schar (F.) (1), Manipel, Kohorte, Menge","cohort, battalion, maniple, crowd (N.), troop (N.)"
2345,*harbisjan,got,V.,abpflücken,pick (V.)
2346,*hardjan,got,V.,,
2347,harduba 3,got,Adv.,"sehr, hart","with hardness, harshly, with severity, terribly"
2348,harduhaírtei* 2,got,F.,Hartherzigkeit,hard-heartedness
2349,*harduhaírts?,got,Adj.,hartherzig,hard-hearted
2350,hardus 4,got,Adj.,"hart, streng","hard, harsh, stern (1)"
2351,"*haribaírgō?, *haribergō?",got,F.,Herberge,"lodging, accomodation"
2352,*haribergō?,got,F.,,
2353,*hariggs?,got,M.,Hering,herring
2354,*harihriggs,got,M.,Heerring,"army ring, ring of soldiers"
2355,*harjatuga,got,M.,Heerführer,army commander
2356,harjis 2,got,M.,"Heer, Menge","army, legion, host, armed host"
2357,*harpa?,got,F.,Harfe,harp
2358,*harpōn?,got,V.,packen,"grab (V.), grasp (V.)"
2359,"*haspa, *haspō",got,"F., F.","Haspe, Winde","windlass, winch (N.)"
2360,*haspan?,got,V.,haspeln,"wind up, reel up"
2361,*haspō,got,F.,,
2362,*hasus,got,Adj.,,
2363,"*hasws, *hasus",got,Adj.,grau,grey
2364,hat*,got,N.,,
2365,hatan* 2,got,V.,hassen,"hate (V.), feel hostile toward, be antipathetical toward, show antagonism toward"
2366,hatis 11,got,N.,"Hass, Zorn","directed anger, angry hostility, animosity, hate (N.)"
2367,hatizōn* 1,got,V.,zürnen,"be embittered against, be angry with"
2368,hatjan* 2,got,V.,hassen,"hate (V.), show hostility towards"
2369,*haþus?,got,M.,Kampf,"fight (N.), struggle (N.), battle (N.)"
2370,haubiþ 36,got,N.,"Haupt, Kopf",head (N.)
2371,haubiþwunds,got,Adj.,,
2372,hauhaba 2,got,Adv.,hoch,"loftily, highly, exaltedly"
2373,hauhei 1,got,F.,Höhe,"height, highness"
2374,hauheins 7,got,F.,"„Erhöhung“, Preis, Ehre","raising on high, elevation, elevating (N.), extolment, exaltation, praise (N.), >>>"
2375,hauhhaírtei 1,got,F.,Hochmut,"high-heartedness, haughtiness, arrogance, pride (N.)"
2376,hauhhaírts 5,got,Adj.,hochmütig,"high-hearted, haughty, arrogant, proud (Adj.)"
2377,hauhis 1,got,"Adv., Adj.",höher,higher
2378,hauhisti* 3,got,N.,höchste Höhe,highest height
2379,hauhiþa 7,got,F.,"Höhe, Erhebung, Ehre","height, high (N.), elevatedness, exaltedness, honour (N.)"
2380,hauhjan 27,got,V.,"hoch machen, erhöhen, preisen, verherrlichen","make high, lift on high, elevate, exalt, extol, praise (V.)"
2381,*hauhnan?,got,V.,erhöht werden,become raised on high
2382,hauhs* 10,got,Adj.,hoch,high (Adj.)
2383,hauhþūhts 1,got,Adj.,"hochmütig, verblendet","high-seeming, thought to be high, impressing as high, haughty, arrogant, swollen>>>"
2384,hauneins* 6,got,F.,"Erniedrigung, Demut","lowliness, humility, humbleness"
2385,hauniþa* 21,got,F.,Demut?,"humility?, humbleness?"
2386,haunjan 3,got,V.,"erniedrigen, niedrig machen","make low, abase, humiliate"
2387,hauns 1,got,Adj.,"niedrig, demütig","low (Adj.), lowly, humble (Adj.)"
2388,haúrds 5,got,F.,"Tür, geflochtene Tür","door, lattice door"
2389,haúri* 2,got,N.,"Kohle, Kohlenfeuer (= haurja)","coal, burning charcoal, coal-fire, ember"
2390,haúrn 2,got,N.,"Horn, Frucht des Johannisbrotbaums, Bockshorn","horn, horn-shaped pod of the carob-tree"
2391,haúrnja* 1,got,M.,"Hornbläser, Hornist","horn-blower, hornist"
2392,haúrnjan* 2,got,V.,"hornblasen, das Horn blasen, trompeten","blow a horn, sound a trumpet"
2393,hauseins* 5,got,F.,"Gehör, Ohr, das Gehörte, Hören, Predigt, Gehorsam","hearing (N.), sense of hearing, that which is heard, ear, preaching (N.), report>>>"
2394,hausjan 111,got,V.,"hören, anhören, zuhören","hear, hearken, listen"
2395,hausjōn 4,got,V.,hören,"hear, listen"
2396,hawi 3,got,N.,Heu,"hay (N.), grass (N.)"
2397,*hazds?,got,M.,Haar (N.),hair (N.)
2398,*hazdwalds?,got,M.,"Haarwalter, Heerwalter",army commander
2399,hazeins 10,got,F.,"Lob, Loblied, Lobgesang, Preis","praise (N.), song of praise"
2400,hazer 1,got,Num.,tausend,thousand
2401,hazjan 10,got,V.,"loben, preisen",praise (V.)
2402,heitō 2,got,F.,"„Hitze“, Fieber","„heat“ (N.), fever, pyrexia"
2403,*heits,got,Adj.,heiß,"hot, febrile"
2404,*heiwa,got,Sb.,Hausstand,household
2405,heiwafrauja* 1,got,M.,Hausherr,"master of the family, household head"
2406,*heiwiski?,got,N.,"Familie, Haushalt","family, household"
2407,hēlei 2,got,Interj.,"eli, mein Gott","eli, my God"
2408,hēr 20,got,Adv.,"hier, her","here, hither"
2409,hēþjō* 1,got,F.,Kammer,"chamber, cubicle, bedroom"
2410,"hi* 20, hi-* 20",got,Pron.,dieser,"this, of here and now, the present, this here"
2411,hidrē 3,got,Adv.,hierher,"hither, to this place, to here"
2412,*hildi?,got,F.,Kampf,"fight (N.), struggle (N.), battle (N.)"
2413,*hilds?,got,Sb.,Kampf,"fight (N.), struggle (N.), battle (N.)"
2414,hilms* 2,got,M.,Helm (M.) (1),"helmet, helm"
2415,hilpan 4,got,V.,helfen,"help (V.), go to the aid of, give help to"
2416,himinakunds* 9,got,Adj.,"von himmlischer Abkunft, himmlisch","coming from heaven, celestial, of heavenly provenance, heavenly"
2417,himins 104,got,M.,Himmel,"heaven (N.), sky"
2418,hindana 1,got,Adv.,"hinter, jenseits","beyond, on the yon side of, on the far side of, in back of, behind"
2419,hindar 15,got,"Präp., V.","hinter, jenseits, über","behind, beyond, to the far side of, on the far side of, on the side of, on the p>>>"
2420,hindarleiþan 2,got,V.,"hinzukommen, vergehen","go past, pass on, pass away, come up"
2421,hindarweis* 1,got,Adj.,"hinterlistig, verstellt","hypocritical, pretending, insincere, feigning, deceitful, treacherous"
2422,hindarweisei* 1,got,F.,Hinterlist,"deceitfulness, guile, deceit, fraudulence, insincerity, feignedness, hypocrisy, >>>"
2423,hindumists* 1,got,"Adj., Adj.","hinterste, letzte, äußerste","outermost, remotest, farthest, most distant"
2424,*hinþan?,got,V.,fangen,catch (V.)
2425,hiri 6,got,Adv.,"hierher, komm her","come here, hither"
2426,*hirjan?,got,V.,kommen,come
2427,his*,got,Pron.,"er, dieser","he, this"
2428,hita,got,Pron.,,
2429,hiufan* 2,got,V.,"wehklagen, Klagelieder singen","lament (V.), sing a dirge, sing a threnody, wail (V.)"
2430,hiuhma 6,got,M.,"Haufen, Menge","crowd (N.), mass (N.), heap (N.), multitude"
2431,"*hiureis, hiurs",got,Adj.,,
2432,*hiurs?,got,Adj.,,
2433,hiwi* 2,got,N.,"Gestalt, Aussehen","surface appearance, looks, superficial complexion, cosmetic aspect, form (N.)"
2434,hlahjan* 2,got,V.,lachen,laugh (V.)
2435,*hlaiba?,got,M.,,
2436,hlaifs* 73,got,M.,"Brot, Brotlaib, Brotbissen, Bissen","bread, loaf of bread, loaf, crumb (N.)"
2437,"hlain* 1, hlains*",got,"M., N.",Hügel,"rising ground, hill, hillock"
2438,hlains*,got,"M., N.",,
2439,hlaiw* 16,got,N.,Grab,"tomb, burial cave, sepulchre, grave"
2440,hlaiwasna*,got,F.,,
2441,hlaiwasnōs 4,got,F.,Gräber,"tombs, mausoleums"
2442,hlamma 2,got,F.,"„Falle“, Schlinge","crash-trap, pitfall, trap for crash-falling into, snare (N.)"
2443,hlas* 2,got,Adj.,"heiter, fröhlich, sorgenfrei","cheerful, merry, happy"
2444,hlasei* 1,got,F.,"Fröhlichkeit, Heiterkeit","cheerfulness, cheer (N.)"
2445,*hlaþan?,got,V.,laden (V.) (1),load (V.)
2446,*hlaupan?,got,V.,"laufen, springen","run (V.), jump (V.)"
2447,hlauts 4,got,M.,"Los, Anteil, Erbschaft","lot (N.), allotment, alloted portion, inheritance"
2448,hleibjan* 1,got,V.,sich annehmen,"shield (V.), give protection to, protect, help (V.)"
2449,hleiduma* 76,got,"Adv., Adj.",link,"left (Adj.), of the left side"
2450,hleis*,got,M.,,
2451,hleiþra* 54,got,F.,"Zelt, Hütte","tent, tent-like housing, temporary shelter, booth"
2452,*hleiþrjan?,got,V.,,
2453,hleþrastakeins 1,got,F.,"„Zeltabsteckung“, Zeltaufschlagen, Laubhüttenfest","„tent-staking“, tent-pitching, feast of tent-pitching"
2454,hlifan* 6,got,V.,stehlen,"commit theft, steal (V.)"
2455,hliftus 1,got,M.,Dieb,thief
2456,"hlija* 1, hleis*",got,M.,"Hütte, Zelt","tent, tent-like structure, booth"
2457,*hlimman?,got,V.,rauschen,"crash (V.), roar (V.), rush (V.), resound"
2458,hliuma 4,got,M.,"Gehör, Ohren (= hliumans)","hearing (N.), sense of hearing, ability to hear, ears (= hliumans)"
2459,*hliutan?,got,V.,losen,"draw lots, get by lot, be allotted s.th., have allotted to o.s."
2460,*hliuþ?,got,N.,"Gehör?, Schweigen?, Stille?, Aufmerksamkeit?","hearing (N.)?, silence?, quietness?, attention?"
2461,*hlōhjan?,got,V.,lachen machen,"cause to laugh, give cause for rejoicing"
2462,hlūtrei* 1,got,F.,"Lauterkeit, Reinheit, Aufrichtigkeit",purity
2463,hlūtriþa* 1,got,F.,"Lauterkeit, Reinheit, Aufrichtigkeit","purity, unalloyedness"
2464,hlūtrs* 1,got,Adj.,"lauter, rein","pure, untainted, clean (Adj.)"
2465,*hluþ-,got,Adj.,berühmt,famous
2466,hnaiweins* 1,got,F.,"Erniedrigung, Demut","lowliness, abasement, humbling, humiliation"
2467,hnaiwjan* 3,got,V.,"niedrig machen, erniedrigen","make low, cause to go down, lower (V.), humble (V.), abase (V.)"
2468,hnaiws* 1,got,Adj.,"niedrig, demütig","low (Adj.), lowly"
2469,*hnapps?,got,M.,Napf,bowl (N.)
2470,hnasqus* 3,got,Adj.,"weich, weichlich, zart","soft (Adj.), delicate"
2471,*hneipan,got,V.,betrüben,"droop, be limply bowed downwards, be downcast"
2472,hneiwan 1,got,V.,sich neigen,"decline, bend downcast, turn downcast"
2473,*hnipnan?,got,V.,"sich betrüben, trauern","become downcast, become gloomy"
2474,*hniupan?,got,V.,reißen,tear (V.)
2475,*hnupnan?,got,V.,"zerreißen, zerrissen werden","burst (V.), be rent asunder, become rent asunder"
2476,hnutō,got,F.,,
2477,"hnuþō 2 (1), hnutō?",got,F.,spitzer Pfahl,"pointed stake, peg (N.), spike (N.), nail (N.), tip of prod"
2478,*hōbains?,got,F.,,
2479,*hōban?,got,V.,"halten?, passen?",hold (V.)?
2480,hoef,got,N.,,
2481,"hoeft* 1, hoef",got,N.,,
2482,hoemisclep 1,got,Wort,,
2483,hōha* 1,got,M.,Pflug,plow
2484,*hoka?,got,F.,Geiß,goat
2485,*hōl,got,N.,Betrug,"deceit, deception"
2486,hōlōn* 2,got,V.,"verleumden, betrügen, durch Betrug schädigen, schikanieren, schaden","wrong by false allegation, cheat by false pretenses, victimize, slander (V.)"
2487,hōrinassus 7,got,M.,"Ehebruch, Hurerei","adultery, fornication, illicit extra-marital sexual intercourse"
2488,hōrinōn 13,got,V.,"huren, die Ehe brechen, Ehebruch treiben",commit adultery
2489,hōrs 7,got,M.,"Hurer, Ehebrecher","adulterer, fornicator"
2490,*hrabns?,got,M.,Rabe,raven
2491,hrainei 1,got,F.,"Reinheit, Reinigung",cleanliness
2492,hraineins* 3,got,F.,Reinigung,"cleansing, purification"
2493,*hrainiþa?,got,F.,Reinheit,cleanliness
2494,hrainjahaírts* 1,got,Adj.,"„reinherzig“, reinen Herzens","clean of heart, pure in heart"
2495,hrainjan* 1,got,V.,reinigen,"cleanse, make clean, purify"
2496,hrains 19,got,Adj.,"rein, ehrbar","clean (Adj.), cleanly, honourable"
2497,*hraiw,got,N.,Leiche,carrion
2498,hraiwadūbō* 1,got,F.,"„Leichentaube“, Turteltaube","turtle-dove, wild dark dove, sacrificial animal of poor people"
2499,*hrama,got,Sb.,Gestell,stand (N.)
2500,hramjan* 1,got,V.,kreuzigen,"put to the stake, crucify"
2501,*hranka?,got,F.,Ranke,tendril
2502,*hrankjan?,got,V.,ranken,entwine
2503,*hrapōn?,got,V.,"stürzen, eilen","rush (V.), dash (V.)"
2504,*hrausa,got,F.,,
2505,*hriggs,got,M.,"Ring, Kreis",ring (N.)
2506,*hrisjan?,got,V.,schütteln,shake (V.)
2507,*hrōms?,got,M.,Ruhm,"glory, fame (N.)"
2508,*hrōpan,got,V.,rufen,"cry out, call aloud"
2509,hrōpjan 29,got,V.,"rufen, schreien","cry out, shout (V.), call out"
2510,hrōps 1,got,M.,"Ruf, Geschrei","outcry, clamour, shouting (N.)"
2511,hrōt* 6,got,N.,"Dach, Haus","roof, housetop, house (N.)"
2512,"*hrōþ, *hrōþs",got,N.,"Ruhm, Sieg","victorious condition, glory of victory, triumph (N.)"
2513,hrōþeigs* 1,got,Adj.,"ruhmreich, siegreich","victourious, glorious, triumphant"
2514,*hrōþs,got,N.,,
2515,hrugga* 1,got,F.,"Stab, Rute","staff, walking stick"
2516,"hrūk* 1, hrūks*?",got,M.,Krähen (N.),crowing of a rooster
2517,hrūkjan* 4,got,V.,krähen,crow (V.)
2518,hrūks*,got,M.,,
2519,*hrunkjan?,got,V.,runzeln,"wrinkle (V.), crease (V.)"
2520,*hruskan?,got,V.,forschen,search (V.)
2521,*hugds?,got,F.,Gesinnung,mode of perception
2522,huggrjan* 2,got,V.,hungern,make to hunger
2523,huggrus*,got,M.,,
2524,hugjan* 14,got,V.,"denken, meinen, glauben","have one’s mind on, be minded to, be disposed, be of an opinion, think"
2525,hugs* (1) 1,got,M.,"Verstand, Sinn","understanding, faculty of perception, faculty of disposition, mind (N.)"
2526,hugs* (2) 1,got,N.,"Landgut?, Feld","landed estate?, country estate?, agricultural property, farm property, field"
2527,hūhjan* 1,got,V.,"häufen, sammeln","accumulate, stockpile (V.), store up"
2528,"hūhrus 4, hunhrus*, huggrus*",got,M.,"Hunger, Hungersnot","hunger (N.), famine"
2529,*huleins?,got,F.,Hüllung,covering (N.)
2530,hulistr 5,got,N.,"Hülle, Decke","cover (N.), covering (N.), veil (N.)"
2531,*huliþs?,got,"V., Adj.",,
2532,huljan 2,got,V.,"hüllen, verhüllen","put a cover on, cover (V.), veil (V.)"
2533,*Hulmarugeis?,got,M.,Rugier,Rugians
2534,*hulms?,got,M.,Insel,island
2535,*hulōn?,got,V.,höhlen,hollow (V.)
2536,*huls,got,Adj.,hohl,hollow (Adj.)
2537,*hulþa,got,M.,Holder,"beloved person, sweetheart (M.)"
2538,*hulþō?,got,F.,Holde,"beloved person, sweetheart (F.)"
2539,hulþs 1,got,Adj.,"hold, gnädig, günstig","kind (Adj.), clement, propitious, gracious"
2540,hulundi 1,got,F.,Höhle,"cave (N.), cavern"
2541,*-hun?,got,V.,,
2542,*hūn-,got,M.,,
2543,hund* 6,got,"N., Num.",hundert,hundred (= 100)
2544,hunda,got,Num.,,
2545,hundafaþs 9,got,M.,"Zenturio, Hundertführer",chief of a hundred-man military unit
2546,hunds* 4,got,M.,Hund,dog
2547,*hunhrus?,got,M.,,
2548,"*hūns?, *hūn",got,M.,junger Bär,"young bear, cub (N.)"
2549,hunsl* 7,got,N.,Opfer,"sacrifice (N.), immolation"
2550,*hunslags?,got,Adj.,versöhnlich,conciliatory
2551,hunslastaþs* 4,got,M.,"Opferstätte, Altar","place for sacrifice, altar"
2552,hunsljan* 1,got,V.,opfern,"sacrifice (V.), immolate"
2553,hunþs* 1,got,M.,"Fang, Beute (F.) (1)","captivity, capture (N.)"
