hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,wordipa
atlasz,1692,1692,1692,atlasz2,,['atlas'],atlas,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,ɒtlɒs
dák,1692,1692,1692,dák,,Dacian,Dacian,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,daːk
eunuch,1692,1692,1692,eunuch,,eunuch,eunuch,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,ɛunut͡sh
illír,1692,1692,1692,illír,,Illyrian,Illyrian,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,illiːr
imám,1692,1692,1692,imám,,imam,imam,b) Oszmán-török jövevényszavak ,b) Ottoman-Turkish newcomer words,,n,imaːm
kripta,1692,1692,1692,kripta,,"['charnel-house', 'vault']","charnel-house, vault",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kriptɒ
litván,1692,1692,1692,litván,,['Lithuanian'],Lithuanian,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,litvaːn
láz,1693,1693,1693,láz,,"['fever', 'heat']","fever, heat",,,,n,laːz
bábu,1693,1693,1693,bábu,,"['marker', 'puppet']","marker, puppet","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,n,baːbu
biliárd,1693,1693,1693,biliárd,,['carom'],carom,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,r,biliaːrd
dóm,1693,1693,1693,dóm,,"['ball', 'dome']","ball, dome",D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,doːm
dotál,1693,1693,1693,dotál,,doping,doping,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,dotaːl
fürge,1693,1693,1693,fürge,,"['agile', 'beany', 'brisk', 'deft', 'fleet', 'limber', 'lively', 'mercurial', 'nifty', 'nimble', 'nippy', 'perky', 'smart', 'sprightly', 'spry', 'swift']","agile, beany, brisk, deft, fleet, limber, lively, mercurial, nifty, nimble, nippy, perky, smart, sprightly, spry, swift",1. Származékszavak ,1. Derivatives,,a,fyrɡɛ
garral,1693,1693,1693,garral,,Garrel,Garrel,3. Megszilárdult ragos alak ,3. Solidified sticky shape,,n,ɡɒrrɒl
habitus,1693,1693,1693,habitus,,['habit'],habit,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,hɒbituʃ
hárem,1693,1693,1693,hárem,,"['harem', 'purdah']","harem, purdah",E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,haːrɛm
inal,1693,1693,1693,inal,,Inal,Inal,1. Származékszavak ,1. Derivatives,,a,inɒl
izeg-mozog,1693,1693,1693,izeg-mozog,,"['to fidget', 'to squirm', 'to wiggle', 'to wriggle']","fidget, squirm, wiggle, wriggle",14. Ikerszavak ,14. Twin words,,v,izɛɡ-mozoɡ
kakadu,1693,1693,1693,kakadu,,['cockatoo'],cockatoo,D) VÁNDORSZÓK ,D) WANDERING WORDS,,a,kɒkɒdu
kókad,1693,1693,1693,kókad,,Koka,Koka,1. Származékszavak ,1. Derivatives,,v,koːkɒd
kultusz,1693,1693,1693,kultusz,,['cult'],cult,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kultus
magazin,1693,1693,1693,magazin,,"['book', 'magazine']","book, magazine",D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,mɒɡɒzin
másállapot,1693,1693,1693,másállapot,,['childbearing'],childbearing,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,maːʃaːllɒpot
nulla,1693,1693,1693,nulla,,"['cipher', 'duck', 'naught', 'nil', 'nothing', 'nought', 'null', 'zero', 'zilch']","cipher, duck, naught, nil, nothing, nought, null, zero, zilch",1. Olasz (többnyire északolasz) jövevényszavak ?,1. Italian (mostly northern Italian) newcomer words?,,a,nullɒ
opera,1693,1693,1693,opera,,['opera'],opera,1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,opɛrɒ
prizma,1693,1693,1693,prizma,,"['clamp', 'prism', 'reflector']","clamp, prism, reflector",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,prizmɒ
spekulál,1693,1693,1693,spekulál,,['to speculate'],speculate,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,v,ʃpɛkulaːl
töpreng,1693,1693,1693,töpreng,,"['to chew', 'to mull', 'to reflect on', 'to ruminate', 'to speculate', 'to think, thought']","chew, mull, reflect_on, ruminate, speculate, think, thought",1. Származékszavak ,1. Derivatives,,v,tøprɛnɡ
urna,1693,1693,1693,urna,,['urn'],urn,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,urnɒ
vályog,1693,1693,1693,vályog,,"['clay and straw mortar', 'loam']","clay_and_straw_mortar, loam",b) Ukrán jövevényszavak ?,b) Ukrainian newcomer words?,,n,vaːjoɡ
vivát,1693,1693,1693,vivát,,Viva,Viva,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,vivaːt
egérút,1694,1694,1694,egérút,,mouse road,mouse_road,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,ɛɡeːruːt
gyalogszerrel,1694,1694,1694,gyalogszerrel,,on foot,on_foot,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,ɟɒloɡsɛrrɛl
jacht,1694,1694,1694,jacht,,"['cruiser', 'yacht']","cruiser, yacht",1. Német jövevényszavak általában ,1. German newcomer words in general,,n,jɒt͡sht
katakomba,1694,1694,1694,katakomba,,['catacomb'],catacomb,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kɒtɒkombɒ
lancetta,1694,1694,1694,lancetta,,lancet,lancet,1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,v,lɒnt͡sɛttɒ
lebzsel,1694,1694,1694,lebzsel,,"['to loiter', 'to loll', 'to loll about', 'to lollop', 'to lounge', 'to trifle']","loiter, loll, loll_about, lollop, lounge, trifle",1. Származékszavak ,1. Derivatives,,v,lɛbʒɛl
pilóta,1694,1694,1694,pilóta,,"['airman', 'aviator', 'flyboy', 'flying man', 'pilot']","airman, aviator, flyboy, flying_man, pilot",E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,piloːtɒ
formális,16941709,1694–1709,1694–1709,formális,,['ceremonious'],ceremonious,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,formaːliʃ
asztma,1695,1695,1695,asztma,,['asthma'],asthma,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,ɒstmɒ
ciráda,1695,1695,1695,ciráda,,ciráda,ciráda,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,t͡siraːdɒ
esdekel,1695,1695,1695,esdekel,,"['to beseech', 'to beseech, besought', 'to invoke', 'to petition']","beseech, beseech, besought, invoke, petition",1. Származékszavak ,1. Derivatives,,n,ɛʃdɛkɛl
módi,1695,1695,1695,módi,,['trendy'],trendy,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,moːdi
pruszlik,1696,1696 u.,after 1696 ,pruszlik,,bodice,bodice,4. Bajor jövevényszavak ,4. Bavarian newcomer words,,n,pruslik
barhent,1697,1697,1697,barhent,,barhent,barhent,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,bɒrhɛnt
duzzog,1697,1697,1697,duzzog,,"['have the sulks', 'to pout', 'to sulk', 'to tiff']","have_the_sulks, pout, sulk, tiff",1. Származékszavak ,1. Derivatives,,v,duzzoɡ
korán,1697,1697,1697,korán2,,"['air', 'early', 'prematurely', 'soon']","air, early, prematurely, soon",,,,r,koraːn
likvidál,1697,1697,1697,likvidál,,['to liquidate'],liquidate,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,likvidaːl
staféta,1697,1697,1697,staféta,,['relay race'],relay_race,1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,ʃtɒfeːtɒ
flanell,16971698,1697–1698,1697–1698,flanell,,flannel,flannel,1. Német jövevényszavak általában ,1. German newcomer words in general,,v,flɒnɛll
bíbelődik,1698,1698,1698,bíbelődik,,bíbelődik,bíbelődik,1. Származékszavak ,1. Derivatives,,v,biːbɛløːdik
cirka,1698,1698,1698,cirka,,['circa'],circa,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,r,t͡sirkɒ
favorizál,1698,1698,1698,favorizál,,favors,favors,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,fɒvorizaːl
frank,1698,1698,1698,frank2,,['franc'],franc,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,a,frɒnk
korrekt,1698,1698,1698,korrekt,,"['aboveboard', 'clean', 'correct', 'fair', 'square', 'white']","aboveboard, clean, correct, fair, square, white",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,korrɛkt
lötyög,1698,1698,1698,lötyög,,"['to waggle', 'to wobble']","waggle, wobble","1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,løcøɡ
perfekt,1698,1698,1698,perfekt,,perfect,perfect,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,v,pɛrfɛkt
adjunktus,1699,1699,1699,adjunktus,,"['adjunct', 'assistant professor', 'senior lecturer']","adjunct, assistant_professor, senior_lecturer",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,ɒdjunktuʃ
csokoládé,1699,1699,1699,csokoládé,,chocolate,chocolate,D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,t͡ʃokolaːdeː
gála,1699,1699,1699,gála,,['kid-glove'],kid-glove,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,ɡaːlɒ
inkognitó,1699,1699,1699,inkognitó,,incognito,incognito,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,inkoɡnitoː
ministrál,1699,1699,1699,ministrál,,Ministr,Ministr,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,miniʃtraːl
retyerutya,1791,"17. sz. (?), 1791","17. century (?),  1791",retyerutya,,retyerutya,retyerutya,14. Ikerszavak ,14. Twin words,,a,rɛcɛrucɒ
mentes,1700,17. sz. vége,end of 17. century ,mentes,,"['clear', 'devoid', 'exempt', 'free', 'immune', 'quit', 'void']","clear, devoid, exempt, free, immune, quit, void",1. Származékszavak ,1. Derivatives,,a,mɛntɛʃ
puliszka,1700,17. sz. vége,end of 17. century ,puliszka,,['mush'],mush,1. Latin jövevényszavak általában ?,1. Latin newcomers in general?,,n,puliskɒ
surgyé,1700,17. sz. vége,end of 17. century ,surgyé,,Surgy,Surgy,,,,n,ʃurɟeː
kozma,1700,17. század,17. centuryzad,kozma,,kozma,kozma,a) Török jövevényszavak általában ?,a) Turkish newcomers in general?,,n,kozmɒ
mámoros,1700,17. század,17. centuryzad,mámoros,,['elated'],elated,b) Oszmán-török jövevényszavak ,b) Ottoman-Turkish newcomer words,,a,maːmoroʃ
peták,1700,17. század,17. centuryzad,peták,,Peták,Peták,b) Horvát-szerb jövevényszavak ?,b) Croatian-Serbian newcomer words?,,v,pɛtaːk
cikázik,1706,"1700 k. (?), 1706","ca. 1700  (?),  1706",cikázik,,flashes,flashes,1. Származékszavak ,1. Derivatives,,v,t͡sikaːzik
csutora,17031704,"1700 tn., 1703–1704","1700 placename,  1703–1704",csutora,,['mouthpiece'],mouthpiece,D) VÁNDORSZÓK ,D) WANDERING WORDS,,v,t͡ʃutorɒ
fehérnép,1700,1700,1700,fehérnép,,white people,white_people,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,n,fɛheːrneːp
konkurál,1700,1700,1700,konkurál,,['to compete'],compete,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,v,konkuraːl
kultúra,1700,1700,1700,kultúra,,"['civilization', 'culture']","civilization, culture",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,kultuːrɒ
slafrok1701—1750,1700,1700,1700,slafrok1701—1750,,slafrok1701-1750,slafrok1701-1750,,,,r,ʃlɒfrok1701—1750
herbatea,1704,"1701  (talán  nem  magyar),  1704","1701  (talán  nem  magyar),   1704",herbatea,,"['herb beer', 'infusion']","herb_beer, infusion",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,hɛrbɒtɛɒ
banka,1702,1702,1702,banka,,banka,banka,10. Szóhasadással keletkezett szavak ?,10. Words formed by splitting?,,n,bɒnkɒ
fóka,1702,1702,1702,fóka,,['seal'],seal,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,foːkɒ
pocsékol,1702,1702,1702,pocsékol,,['to waste'],waste,1. Származékszavak ,1. Derivatives,,n,pot͡ʃeːkol
poloska,1702,1702,1702,poloska,,"['bedbug', 'bug', 'pitting']","bedbug, bug, pitting",c) Szlovák jövevényszavak ?,c) Slovak newcomer words?,,n,poloʃkɒ
szét,1702,1702,1702,szét,,"['apart', 'asunder']","apart, asunder",3. Megszilárdult ragos alak ,3. Solidified sticky shape,,r,seːt
törleszkedik,1702,1702,1702,törleszkedik,,törleszkedik,törleszkedik,1. Származékszavak ,1. Derivatives,,v,tørlɛskɛdik
bogrács,1703,1703 k.,ca. 1703 ,bogrács,,cauldron,cauldron,b) Oszmán-török jövevényszavak ,b) Ottoman-Turkish newcomer words,,n,boɡraːt͡ʃ
bagatell,1703,1703,1703,bagatell,,"['fillip', 'petty']","fillip, petty",E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,a,bɒɡɒtɛll
csapat,1703,1703,1703,csapat,,"['band', 'bevy', 'cohort', 'company', 'crew', 'crowd', 'flock', 'gang', 'legion', 'outfit', 'party', 'posse', 'side', 'team', 'troop']","band, bevy, cohort, company, crew, crowd, flock, gang, legion, outfit, party, posse, side, team, troop",1. Származékszavak ,1. Derivatives,,n,t͡ʃɒpɒt
flotta,1703,1703,1703,flotta,,['fleet'],fleet,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,flottɒ
mundér,1703,1703,1703,mundér,,Munder,Munder,4. Játékos szóalkotással létrejött szavak ,4. Words formed by playful word formation,,r,mundeːr
rostokol,1703,1703,1703,rostokol,,"[""to cool one's heels""]","""cool_ones_heels""",1. Származékszavak ,1. Derivatives,,n,roʃtokol
selma,1703,1703,1703,selma,,bob,bob,c) Szlovák jövevényszavak ?,c) Slovak newcomer words?,,n,ʃɛlmɒ
söntés,1703,1703,1703,söntés,,"['bar', 'pub', 'saloon', 'tap', 'taproom']","bar, pub, saloon, tap, taproom",1. Német jövevényszavak általában ,1. German newcomer words in general,,n,ʃønteːʃ
tabella,1703,1703,1703,tabella,,table,table,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,tɒbɛllɒ
teketória,1704,1704 e.,before 1704 ,teketória,,['punctilio'],punctilio,1. Latin jövevényszavak általában ?,1. Latin newcomers in general?,,n,tɛkɛtoːriɒ
bunyevác,1704,1704,1704,bunyevác,,Bunjevac,Bunjevac,b) Horvát-szerb jövevényszavak ,b) Croatian-Serbian newcomer words,,n,buɲɛvaːt͡s
cókmók,1704,1704,1704,cókmók,,"['clobber', 'crap', 'doings', 'duds', 'kit', 'paraphernalia']","clobber, crap, doings, duds, kit, paraphernalia",4. Játékos szóalkotással létrejött szavak ,4. Words formed by playful word formation,,n,t͡soːkmoːk
dákó,1704,1704,1704,dákó,,['dong'],dong,4. Bajor jövevényszavak ,4. Bavarian newcomer words,,n,daːkoː
expressz,1704,1704,1704,expressz,,['express'],express,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,ɛksprɛʃs
flór,1704,1704,1704,flór,,fluorine,fluorine,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,floːr
inzultus,1704,1704,1704,inzultus,,insult,insult,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,inzultuʃ
kaszárnya,1704,1704,1704,kaszárnya,,barrack,barrack,D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,kɒsaːrɲɒ
kassza,1704,1704,1704,kassza,,"['cash register', 'desk', 'till']","cash_register, desk, till",D) VÁNDORSZÓK ,D) WANDERING WORDS,,n,kɒʃsɒ
kussol,1704,1704,1704,kussol,,Laying low,Laying_low,1. Német jövevényszavak általában ,1. German newcomer words in general,,v,kuʃʃol
mandzsetta,1704,1704,1704,mandzsetta,,['cuff'],cuff,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,mɒnd͡ʒɛttɒ
maródi,1704,1704,1704,maródi,,Maródi,Maródi,1. Német jövevényszavak általában ,1. German newcomer words in general,,a,mɒroːdi
marsruta,1704,1704,1704,marsruta,,marsruta,marsruta,1. Német jövevényszavak általában ,1. German newcomer words in general,,r,mɒrʃrutɒ
páholy,1704,1704,1704,páholy,,['box'],box,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,paːhoj
panzió,1704,1704,1704,panzió,,['pension'],pension,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,pɒnzioː
pardon,1704,1704,1704,pardon,,pardon,pardon,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,a,pɒrdon
piarista,1704,1704,1704,piarista,,Pious,Pious,2. Egyházi latin jövevényszavak ,2. Church Latin newcomer words,,a,piɒriʃtɒ
rang,1704,1704,1704,rang,,"['estate', 'grade', 'order', 'place', 'rank', 'ranking', 'rate', 'standing', 'state', 'station']","estate, grade, order, place, rank, ranking, rate, standing, state, station",1. Német jövevényszavak általában ,1. German newcomer words in general,,n,rɒnɡ
virgács,1704,1704,1704,virgács,,['birch'],birch,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,virɡaːt͡ʃ
zsivaj,1704,1704,1704,zsivaj,,"['cry', 'fuss', 'hullabaloo', 'racket', 'riot', 'to-do', 'whoop-de-doo']","cry, fuss, hullabaloo, racket, riot, to-do, whoop-de-doo",1. Származékszavak ,1. Derivatives,,n,ʒivɒj
lélekszakadva,1705,1705,1705,lélekszakadva,,"['breathless', 'hotfoot']","breathless, hotfoot",,,,r,leːlɛksɒkɒdvɒ
bajonett,1705,1705,1705,bajonett,,['bayonet'],bayonet,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,v,bɒjonɛtt
brigadéros,1705,1705,1705,brigadéros,,brigadier,brigadier,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,briɡɒdeːroʃ
bumfordi,1705,1705,1705,bumfordi,,clumsy,clumsy,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,a,bumfordi
íroz,1705,1705,1705,-íroz~-éroz,+,íroz,íroz,,,,r,iːroz
éroz,1705,1705,1705,-íroz~-éroz,+,éroz,éroz,,,,r,eːroz
lotyog,1705,1705,1705,lotyog,,['to cluck'],cluck,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,a,locoɡ
mágnás,1705,1705,1705,mágnás,,"['lord', 'magnate']","lord, magnate",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,maːɡnaːʃ
markotányos,1705,1705,1705,markotányos,,['victualler'],victualler,1. Származékszavak ,1. Derivatives,,r,mɒrkotaːɲoʃ
migrén,1705,1705,1705,migrén,,"['blinding headache', 'migraine']","blinding_headache, migraine",E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,miɡreːn
papi,1705,1705,1705,papi,,"['clerical', 'clerkly', 'ecclesiastical', 'ghostly', 'hieratic']","clerical, clerkly, ecclesiastical, ghostly, hieratic",1. Származékszavak ,1. Derivatives,,n,pɒpi
pletyka,1705,1705,1705,pletyka,,"['clash', 'gossip', 'scuttlebutt', 'tittle-tattle', 'whisper', 'whispering']","clash, gossip, scuttlebutt, tittle-tattle, whisper, whispering",c) Szlovák jövevényszavak ,c) Slovak newcomer words,,n,plɛckɒ
román,1705,1705,1705,román1,,Romanian,Romanian,3. Román jövevényszavak ,3. Romanian newcomer words,,a,romaːn
verbuvál,1705,1705,1705,verbuvál,,"['to press', 'to recruit']","press, recruit",d) Nyugati szláv jövevényszavak (általában) ?,d) West Slavic newcomer words (usually)?,,a,vɛrbuvaːl
apropó,1706,1706,1706,apropó,,"['apropos', 'by the by', 'by the way', 'by-the-way']","apropos, by_the_by, by_the_way, by-the-way",E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,ɒpropoː
cirkulál,1706,1706,1706,cirkulál,,circulated,circulated,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,v,t͡sirkulaːl
garancia,1706,1706,1706,garancia,,"['assurance', 'guarantee', 'safeguard', 'warrant', 'warranty']","assurance, guarantee, safeguard, warrant, warranty",E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,ɡɒrɒnt͡siɒ
imperialista,1706,1706,1706,imperialista,,imperialist,imperialist,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,a,impɛriɒliʃtɒ
joghurt,1706,1706,1706,joghurt,,"['yoghourt', 'yoghurt', 'yogurt']","yoghourt, yoghurt, yogurt",b) Oszmán-török jövevényszavak ,b) Ottoman-Turkish newcomer words,,n,joɡhurt
mellőz,1706,1706,1706,mellőz,,"['to balk', 'to brush aside', 'to bump', 'to by-pass', 'to cut, cut', 'to ignore', 'to omit', 'to pass by', 'to put on the shelf', 'to put sg on one side', 'to put sg to one side', 'to set aside', 'to shelve', 'to skip', 'to slight', 'to spurn']","balk, brush_aside, bump, by-pass, cut, cut, ignore, omit, pass_by, put_on_the_shelf, put_sg_on_one_side, put_sg_one_side, set_aside, shelve, skip, slight, spurn",1. Származékszavak ,1. Derivatives,,v,mɛlløːz
nekidurál,1706,1706,1706,nekidurál,,nekidurál,nekidurál,13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,a,nɛkiduraːl
ordré,1706,1706,1706,ordré,,ordre,ordre,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,ordreː
lavíroz,1706,1706,1706,lavíroz,,"['to ply to windward', 'to stand off and on', 'to work to windward']","ply_windward, stand_off_and_on, work_windward",1. Német jövevényszavak általában ,1. German newcomer words in general,,v,lɒviːroz
eszencia,1707,1707 k.,ca. 1707 ,eszencia,,"['essence', 'extract', 'quintessence']","essence, extract, quintessence",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,ɛsɛnt͡siɒ
brigád,1707,1707,1707,brigád,,"['brigade', 'crew', 'gang', 'squad', 'team']","brigade, crew, gang, squad, team",1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,briɡaːd
faun,1707,1707,1707,faun,,faun,faun,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,fɒun
gázsi,1707,1707,1707,gázsi,,Gazsi,Gazsi,1. Német jövevényszavak általában ,1. German newcomer words in general,,n,ɡaːʒi
konduktor,1707,1707,1707,konduktor,,conductor,conductor,E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,n,konduktor
spion,1707,1707,1707,spion,,"['fink', 'spy']","fink, spy",E) NEMZETKÖZI SZAVAK ,E) INTERNATIONAL WORDS,,a,ʃpion
szimpla,1707,1707,1707,szimpla,,['single'],single,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,simplɒ
laboratórium,1707,1707,1707,laboratórium,,['laboratory'],laboratory,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,lɒborɒtoːrium
csimpaszkodik,1790,"1708  (?),  1790","1708  (?),   1790",csimpaszkodik,,clinging to,clinging_to,1. Származékszavak ,1. Derivatives,,v,t͡ʃimpɒskodik
áfonya,1708,1708,1708,áfonya,,blueberry,blueberry,3. Román jövevényszavak ,3. Romanian newcomer words,,n,aːfoɲɒ
csempe,1708,1708,1708,csempe,,['glazed tile'],glazed_tile,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,t͡ʃɛmpɛ
csiribiri,1708,1708,1708,csiribiri,,Csiribiri,Csiribiri,1. Olasz (többnyire északolasz) jövevényszavak ?,1. Italian (mostly northern Italian) newcomer words?,,n,t͡ʃiribiri
delikvens,1708,1708,1708,delikvens,,delikvens,delikvens,3. Hazai latin jövevényszavak ,3. Domestic Latin newcomer words,,n,dɛlikvɛnʃ
dúc,1708,1708,1708,dúc2,,"['brace', 'buttress', 'prop', 'stanchion', 'stereo', 'stilt', 'stoop', 'tree']","brace, buttress, prop, stanchion, stereo, stilt, stoop, tree",4. Játékos szóalkotással létrejött szavak ?,4. Words created with playful word formation?,,n,duːt͡s
dunnyog,1708,1708,1708,dunnyog,,dunnyog,dunnyog,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,n,dunɲoɡ
elpatkol,1708,1708,1708,elpatkol,,"['to croak', 'to cross the river', 'to cross the river of death', 'to go home', 'to go west', ""to hand in one's check"", 'to hop the stick', 'to hop the twig', 'to kick the bucket', ""to pass in one's check"", 'to shuffle off', 'to snuff out', ""to turn up one's toes""]","croak, cross_the_river, cross_the_river_of_death, go_home, go_west, ""hand_in_ones_check"", hop_the_stick, hop_the_twig, kick_the_bucket, ""pass_in_ones_check"", shuffle_off, snuff_out, ""turn_up_ones_toes""",13. Szóösszetétellel keletkezett szavak ,13. Words formed by word composition,,v,ɛlpɒtkol
fitogtat,1708,1708,1708,fitogtat,,"['to air', 'to display', 'to flaunt', 'to ostentate', 'to parade', 'to show off']","air, display, flaunt, ostentate, parade, show_off",1. Származékszavak ,1. Derivatives,,v,fitoɡtɒt
gardedám,1708,1708,1708,gardedám,,"['chaperon', 'chaperone']","chaperon, chaperone",1. Német jövevényszavak általában ,1. German newcomer words in general,,n,ɡɒrdɛdaːm
gőgicsél,1708,1708,1708,gőgicsél,,['to chirp'],chirp,1. Származékszavak ,1. Derivatives,,n,ɡøːɡit͡ʃeːl
hempereg,1708,1708,1708,hempereg,,['to roll'],roll,1. Származékszavak ,1. Derivatives,,v,hɛmpɛrɛɡ
idus,1708,1708,1708,idus,,['ides'],ides,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,iduʃ
indigó,1708,1708,1708,indigó,,"['carbon paper', 'carbon']","carbon_paper, carbon",1. Olasz (többnyire északolasz) jövevényszavak ,1. Italian (mostly Northern Italian) newcomer words,,n,indiɡoː
kardinális,1708,1708,1708,kardinális2,,cardinal,cardinal,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,a,kɒrdinaːliʃ
karmantyú,1708,1708,1708,karmantyú,,"['cuff', 'cup', 'muff', 'sleeve', 'socket']","cuff, cup, muff, sleeve, socket",1. Származékszavak ?,1. Derivatives?,,n,kɒrmɒncuː
kőolaj,1708,1708,1708,kőolaj,,"['crude oil', 'crude', 'mineral oil', 'oil', 'paraffin', 'paraffine', 'petroleum', 'rock oil']","crude_oil, crude, mineral_oil, oil, paraffin, paraffine, petroleum, rock_oil",b) Latin mintára keletkezett összetétel ,(b) Composition on a Latin sample,,n,køːolɒj
lestyán,1708,1708,1708,lestyán,,lovage,lovage,3. Román jövevényszavak ,3. Romanian newcomer words,,n,lɛʃcaːn
medúza,1708,1708,1708,medúza,,"['jellyfish', 'medusa', 'slobber']","jellyfish, medusa, slobber",1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,mɛduːzɒ
millió,1708,1708,1708,millió,,million,million,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,r,millioː
norma,1708,1708,1708,norma,,['norm'],norm,1. Latin jövevényszavak általában ,1. Latin newcomers in general,,n,normɒ
óbégat,1708,1708,1708,óbégat,,"['to moan', 'to yammer']","moan, yammer",1. Német jövevényszavak általában ,1. German newcomer words in general,,v,oːbeːɡɒt
ószeres,1708,1708,1708,ószeres,,huckster,huckster,1. Származékszavak ,1. Derivatives,,a,oːsɛrɛʃ
